people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
8111,"Curtis Bramble",Curtis,S.,Bramble,,Curt,2,R,2,Sen,SD-024,6647149,50308,,Curtis_Bramble,208594,0
8123,"James Dunnigan",James,A.,Dunnigan,,Jim,2,R,1,Rep,HD-036,6606637,50739,,Jim_Dunnigan,214111,0
8131,"Jerry Stevenson",Jerry,W.,Stevenson,,,2,R,2,Sen,SD-006,6684268,117513,,Jerry_Stevenson,284089,0
8148,"Stuart Adams","J. Stuart",,Adams,,Stuart,2,R,2,Sen,SD-007,12404793,50400,,Stuart_Adams,210432,0
8150,"Wayne Harper",Wayne,A.,Harper,,,2,R,2,Sen,SD-016,6606689,10551,,Wayne_Harper,199346,0
8151,"Ryan Wilcox",Ryan,D.,Wilcox,,,2,R,1,Rep,HD-007,6675652,103559,,Ryan_Wilcox,268620,0
8156,"Keith Grover",Keith,,Grover,,,2,R,2,Sen,SD-023,6669195,65348,,Keith_Grover,249493,0
8165,"David Hinkins",David,P.,Hinkins,,,2,R,2,Sen,SD-026,6675571,103541,,David_Hinkins,268732,0
8172,"Brian King",Brian,S.,King,,,1,D,1,Rep,HD-023,3055519,103626,,Brian_King,268649,0
8173,"Carol Moss",Carol,Spackman,Moss,,,1,D,1,Rep,HD-034,13007186,168659,,Carol_Moss,208376,0
8186,"Evan Vickers",Evan,J.,Vickers,,,2,R,2,Sen,SD-028,9838132,103758,,Evan_Vickers,268712,0
8193,"Christine Watkins",Christine,F.,Watkins,,,2,R,1,Rep,HD-067,13007279,103747,,Christine_Watkins,268707,0
8196,"Don Ipson",Don,L.,Ipson,,,2,R,2,Sen,SD-029,13007288,103769,,Don_Ipson,268716,0
8207,"Mark Wheatley",Mark,A.,Wheatley,,,1,D,1,Rep,HD-035,6461208,50716,,Mark_Wheatley,227254,0
8209,"Luz Escamilla",Luz,,Escamilla,,,1,D,2,Sen,SD-010,6489663,103492,,Luz_Escamilla,268718,0
11713,"Daniel Thatcher",Daniel,W.,Thatcher,,,2,R,2,Sen,SD-011,13013669,121189,,Daniel_W._Thatcher,292987,0
11716,"Brad Wilson",Brad,R.,Wilson,,,2,R,1,Rep,HD-015,6684059,168624,,Brad_R._Wilson,293266,0
11842,"Ken Ivory",Ken,,Ivory,,,2,R,1,Rep,HD-039,6684197,121360,,Ken_Ivory,290615,0
11900,"Val Peterson",Val,L.,Peterson,,,2,R,1,Rep,HD-056,6684214,121394,,Val_Peterson,293080,0
12070,"Joel Briscoe",Joel,K.,Briscoe,,,1,D,1,Rep,HD-024,6501868,121297,,Joel_Briscoe,293034,0
12088,"Steve Eliason",Steve,,Eliason,,,2,R,1,Rep,HD-043,6684185,121355,,Steven_Eliason,293061,0
13764,"Stewart Barlow",Stewart,E.,Barlow,,,2,R,1,Rep,HD-017,6700256,134842,,Stewart_Barlow,357846,0
