bill_number,session,action_date,chamber,action,voteid,order
HB0001,2024-RS,2024-03-22,LSO,Assigned Chapter Number 118,,20
HB0001,2024-RS,2024-03-22,Governor,Governor Signed HEA No. 0050,,19
HB0001,2024-RS,2024-03-08,Senate,S President Signed HEA No. 0050,,18
HB0001,2024-RS,2024-03-08,House,H Speaker Signed HEA No. 0050,,17
HB0001,2024-RS,2024-03-08,LSO,Assigned Number HEA No. 0050,,16
HB0001,2024-RS,2024-03-04,Senate,Pursuant to JR 2-1(c):S Appointed JCC02 Members,,15
HB0001,2024-RS,2024-03-04,House,Pursuant to JR 2-1(c): H Appointed JCC02 Members,,14
HB0001,2024-RS,2024-03-04,Senate,S JCC:Motion to overrule the decision of the president pursuant to SR8-6 failed 15-15-1-0-0,571,13
HB0001,2024-RS,2024-02-27,Senate,S Appointed JCC01 Members,,12
HB0001,2024-RS,2024-02-27,House,H Appointed JCC01 Members,,11
HB0001,2024-RS,2024-02-27,Senate,Senate:Pursuant to JR 14-1 (g) referred directly to JCC,,10
HB0001,2024-RS,2024-02-22,Senate,S Introduced and Referred to S02,,9
HB0001,2024-RS,2024-02-22,Senate,S Received for Introduction,,8
HB0001,2024-RS,2024-02-22,House,H 3rd Reading:Passed 41-21-0-0-0,5292,7
HB0001,2024-RS,2024-02-19,House,H 2nd Reading:Passed,,6
HB0001,2024-RS,2024-02-16,House,H COW:Passed,,5
HB0001,2024-RS,2024-02-15,House,H COW:Considered,,4
HB0001,2024-RS,2024-02-15,House,H Introduced and Referred to HCOW,,3
HB0001,2024-RS,2024-02-12,House,H Received for Introduction,,2
HB0001,2024-RS,2024-02-09,LSO,Bill Number Assigned,,1
HB0002,2024-RS,2024-02-12,House,H Failed Introduction 39-22-1-0-0,5011,3
HB0002,2024-RS,2024-01-24,House,H Received for Introduction,,2
HB0002,2024-RS,2023-11-30,LSO,Bill Number Assigned,,1
HB0003,2024-RS,2024-03-21,LSO,Assigned Chapter Number 106,,22
HB0003,2024-RS,2024-03-21,Governor,Governor Signed HEA No. 0044,,21
HB0003,2024-RS,2024-03-07,Senate,S President Signed HEA No. 0044,,20
HB0003,2024-RS,2024-03-06,House,H Speaker Signed HEA No. 0044,,19
HB0003,2024-RS,2024-03-06,LSO,Assigned Number HEA No. 0044,,18
HB0003,2024-RS,2024-03-06,Senate,S 3rd Reading:Passed 21-0-0-0-10,598,17
HB0003,2024-RS,2024-03-05,Senate,S 2nd Reading:Passed,,16
HB0003,2024-RS,2024-03-04,Senate,S COW:Passed,,15
HB0003,2024-RS,2024-03-01,Senate,S Placed on General File,,14
HB0003,2024-RS,2024-03-01,Senate,S03 - Revenue:Recommend Amend and Do Pass 5-0-0-0-0,-391,13
HB0003,2024-RS,2024-02-28,Senate,S Introduced and Referred to S03 - Revenue,,12
HB0003,2024-RS,2024-02-23,Senate,S Received for Introduction,,11
HB0003,2024-RS,2024-02-22,House,H 3rd Reading:Passed 59-3-0-0-0,5304,10
HB0003,2024-RS,2024-02-22,House,H 3rd Reading:Pursuant to HR 7-7 Accelerated to 3rd Reading 45-17-0-0-0,5299,9
HB0003,2024-RS,2024-02-22,House,H 2nd Reading:Passed,,8
HB0003,2024-RS,2024-02-21,House,H 2nd Reading:Laid Back,,7
HB0003,2024-RS,2024-02-20,House,H COW:Passed,,6
HB0003,2024-RS,2024-02-20,House,H Placed on General File,,5
HB0003,2024-RS,2024-02-20,House,H03 - Revenue:Recommend Amend and Do Pass 9-0-0-0-0,-92,4
HB0003,2024-RS,2024-02-12,House,H Introduced and Referred to H03 - Revenue 59-2-1-0-0,5012,3
HB0003,2024-RS,2024-01-24,House,H Received for Introduction,,2
HB0003,2024-RS,2023-11-30,LSO,Bill Number Assigned,,1
HB0004,2024-RS,2024-03-21,LSO,Assigned Chapter Number 109,,28
HB0004,2024-RS,2024-03-21,Governor,Governor Signed HEA No. 0052,,27
HB0004,2024-RS,2024-03-08,Senate,S President Signed HEA No. 0052,,26
HB0004,2024-RS,2024-03-08,House,H Speaker Signed HEA No. 0052,,25
HB0004,2024-RS,2024-03-08,LSO,Assigned Number HEA No. 0052,,24
HB0004,2024-RS,2024-03-08,Senate,S Appointed JCC01 Members,,23
HB0004,2024-RS,2024-03-07,House,H Appointed JCC01 Members,,22
HB0004,2024-RS,2024-03-07,House,H Concur:Failed 21-40-1-0-0,5486,21
HB0004,2024-RS,2024-03-07,House,H Received for Concurrence,,20
HB0004,2024-RS,2024-03-07,Senate,S 3rd Reading:Passed 30-0-1-0-0,617,19
HB0004,2024-RS,2024-03-06,Senate,S 2nd Reading:Passed,,18
HB0004,2024-RS,2024-03-05,Senate,S COW:Passed,,17
HB0004,2024-RS,2024-03-04,Senate,S Placed on General File,,16
HB0004,2024-RS,2024-03-04,Senate,S02 - Appropriations:Recommend Do Pass 3-0-2-0-0,-433,15
HB0004,2024-RS,2024-03-01,Senate,:Rerefer to S02 - Appropriations,,14
HB0004,2024-RS,2024-03-01,Senate,S03 - Revenue:Recommend Amend and Do Pass 5-0-0-0-0,-396,13
HB0004,2024-RS,2024-02-28,Senate,S Introduced and Referred to S03 - Revenue,,12
HB0004,2024-RS,2024-02-23,Senate,S Received for Introduction,,11
HB0004,2024-RS,2024-02-22,House,H 3rd Reading:Passed 62-0-0-0-0,5305,10
HB0004,2024-RS,2024-02-22,House,H 3rd Reading:Pursuant to HR 7-7 Accelerated to 3rd Reading 45-17-0-0-0,5300,9
HB0004,2024-RS,2024-02-22,House,H 2nd Reading:Passed,,8
HB0004,2024-RS,2024-02-21,House,H 2nd Reading:Laid Back,,7
HB0004,2024-RS,2024-02-20,House,H COW:Passed,,6
HB0004,2024-RS,2024-02-20,House,H Placed on General File,,5
HB0004,2024-RS,2024-02-20,House,H03 - Revenue:Recommend Amend and Do Pass 9-0-0-0-0,-95,4
HB0004,2024-RS,2024-02-12,House,H Introduced and Referred to H03 - Revenue 61-0-1-0-0,5013,3
HB0004,2024-RS,2024-01-24,House,H Received for Introduction,,2
HB0004,2024-RS,2023-11-30,LSO,Bill Number Assigned,,1
HB0005,2024-RS,2024-02-12,House,H Failed Introduction 40-21-1-0-0,5014,3
HB0005,2024-RS,2024-01-24,House,H Received for Introduction,,2
HB0005,2024-RS,2023-11-30,LSO,Bill Number Assigned,,1
HB0006,2024-RS,2024-02-12,House,H Failed Introduction 41-20-1-0-0,5002,3
HB0006,2024-RS,2024-01-24,House,H Received for Introduction,,2
HB0006,2024-RS,2023-12-05,LSO,Bill Number Assigned,,1
HB0007,2024-RS,2024-02-12,House,H Failed Introduction 40-20-1-0-1,5003,3
HB0007,2024-RS,2024-01-24,House,H Received for Introduction,,2
HB0007,2024-RS,2023-12-05,LSO,Bill Number Assigned,,1
HB0008,2024-RS,2024-03-04,LSO,Assigned Chapter Number 21,,20
HB0008,2024-RS,2024-03-04,Governor,Governor Signed HEA No. 0013,,19
HB0008,2024-RS,2024-02-29,Senate,S President Signed HEA No. 0013,,18
HB0008,2024-RS,2024-02-28,House,H Speaker Signed HEA No. 0013,,17
HB0008,2024-RS,2024-02-28,LSO,Assigned Number HEA No. 0013,,16
HB0008,2024-RS,2024-02-28,Senate,S 3rd Reading:Passed 31-0-0-0-0,505,15
HB0008,2024-RS,2024-02-27,Senate,S 2nd Reading:Passed,,14
HB0008,2024-RS,2024-02-26,Senate,S COW:Passed,,13
HB0008,2024-RS,2024-02-23,Senate,S Placed on General File,,12
HB0008,2024-RS,2024-02-23,Senate,S08 - Transportation:Recommend Do Pass 5-0-0-0-0,-301,11
HB0008,2024-RS,2024-02-20,Senate,S Introduced and Referred to S08 - Transportation,,10
HB0008,2024-RS,2024-02-15,Senate,S Received for Introduction,,9
HB0008,2024-RS,2024-02-15,House,H 3rd Reading:Passed 59-2-1-0-0,5144,8
HB0008,2024-RS,2024-02-14,House,H 2nd Reading:Passed,,7
HB0008,2024-RS,2024-02-13,House,H COW:Passed,,6
HB0008,2024-RS,2024-02-13,House,H Placed on General File,,5
HB0008,2024-RS,2024-02-13,House,H08 - Transportation:Recommend Do Pass 9-0-0-0-0,-21,4
HB0008,2024-RS,2024-02-12,House,H Introduced and Referred to H08 - Transportation 59-1-2-0-0,5024,3
HB0008,2024-RS,2024-01-24,House,H Received for Introduction,,2
HB0008,2024-RS,2023-12-05,LSO,Bill Number Assigned,,1
HB0009,2024-RS,2024-03-07,LSO,Assigned Chapter Number 40,,20
HB0009,2024-RS,2024-03-07,Governor,Governor Signed HEA No. 0032,,19
HB0009,2024-RS,2024-03-04,Senate,S President Signed HEA No. 0032,,18
HB0009,2024-RS,2024-03-04,House,H Speaker Signed HEA No. 0032,,17
HB0009,2024-RS,2024-03-01,LSO,Assigned Number HEA No. 0032,,16
HB0009,2024-RS,2024-03-01,Senate,S 3rd Reading:Passed 30-0-1-0-0,543,15
HB0009,2024-RS,2024-02-29,Senate,S 2nd Reading:Passed,,14
HB0009,2024-RS,2024-02-28,Senate,S COW:Passed,,13
HB0009,2024-RS,2024-02-27,Senate,S Placed on General File,,12
HB0009,2024-RS,2024-02-27,Senate,S03 - Revenue:Recommend Do Pass 5-0-0-0-0,-348,11
HB0009,2024-RS,2024-02-20,Senate,S Introduced and Referred to S03 - Revenue,,10
HB0009,2024-RS,2024-02-15,Senate,S Received for Introduction,,9
HB0009,2024-RS,2024-02-15,House,H 3rd Reading:Passed 61-0-1-0-0,5145,8
HB0009,2024-RS,2024-02-14,House,H 2nd Reading:Passed,,7
HB0009,2024-RS,2024-02-13,House,H COW:Passed,,6
HB0009,2024-RS,2024-02-13,House,H Placed on General File,,5
HB0009,2024-RS,2024-02-13,House,H08 - Transportation:Recommend Do Pass 9-0-0-0-0,-22,4
HB0009,2024-RS,2024-02-12,House,H Introduced and Referred to H08 - Transportation 60-0-2-0-0,5035,3
HB0009,2024-RS,2024-01-24,House,H Received for Introduction,,2
HB0009,2024-RS,2023-12-05,LSO,Bill Number Assigned,,1
HB0010,2024-RS,2024-03-04,LSO,Assigned Chapter Number 13,,20
HB0010,2024-RS,2024-03-04,Governor,Governor Signed HEA No. 0012,,19
HB0010,2024-RS,2024-02-29,Senate,S President Signed HEA No. 0012,,18
HB0010,2024-RS,2024-02-28,House,H Speaker Signed HEA No. 0012,,17
HB0010,2024-RS,2024-02-28,LSO,Assigned Number HEA No. 0012,,16
HB0010,2024-RS,2024-02-28,Senate,S 3rd Reading:Passed 29-0-0-0-2,506,15
HB0010,2024-RS,2024-02-27,Senate,S 2nd Reading:Passed,,14
HB0010,2024-RS,2024-02-26,Senate,S COW:Passed,,13
HB0010,2024-RS,2024-02-22,Senate,S Placed on General File,,12
HB0010,2024-RS,2024-02-22,Senate,S05 - Agriculture:Recommend Do Pass 5-0-1-0-0,-267,11
HB0010,2024-RS,2024-02-20,Senate,S Introduced and Referred to S05 - Agriculture,,10
HB0010,2024-RS,2024-02-19,Senate,S Received for Introduction,,9
HB0010,2024-RS,2024-02-16,House,H 3rd Reading:Passed 61-0-1-0-0,5153,8
HB0010,2024-RS,2024-02-15,House,H 2nd Reading:Passed,,7
HB0010,2024-RS,2024-02-14,House,H COW:Passed,,6
HB0010,2024-RS,2024-02-13,House,H Placed on General File,,5
HB0010,2024-RS,2024-02-13,House,H05 - Agriculture:Recommend Do Pass 9-0-0-0-0,-13,4
HB0010,2024-RS,2024-02-12,House,H Introduced and Referred to H05 - Agriculture 61-0-1-0-0,5004,3
HB0010,2024-RS,2024-01-24,House,H Received for Introduction,,2
HB0010,2024-RS,2023-12-05,LSO,Bill Number Assigned,,1
HB0011,2024-RS,2024-03-04,LSO,Assigned Chapter Number 14,,20
HB0011,2024-RS,2024-03-04,Governor,Governor Signed HEA No. 0011,,19
HB0011,2024-RS,2024-02-29,Senate,S President Signed HEA No. 0011,,18
HB0011,2024-RS,2024-02-28,House,H Speaker Signed HEA No. 0011,,17
HB0011,2024-RS,2024-02-28,LSO,Assigned Number HEA No. 0011,,16
HB0011,2024-RS,2024-02-28,Senate,S 3rd Reading:Passed 29-0-0-0-2,507,15
HB0011,2024-RS,2024-02-27,Senate,S 2nd Reading:Passed,,14
HB0011,2024-RS,2024-02-26,Senate,S COW:Passed,,13
HB0011,2024-RS,2024-02-22,Senate,S Placed on General File,,12
HB0011,2024-RS,2024-02-22,Senate,S05 - Agriculture:Recommend Do Pass 5-0-1-0-0,-268,11
HB0011,2024-RS,2024-02-20,Senate,S Introduced and Referred to S05 - Agriculture,,10
HB0011,2024-RS,2024-02-19,Senate,S Received for Introduction,,9
HB0011,2024-RS,2024-02-16,House,H 3rd Reading:Passed 61-0-1-0-0,5154,8
HB0011,2024-RS,2024-02-15,House,H 2nd Reading:Passed,,7
HB0011,2024-RS,2024-02-14,House,H COW:Passed,,6
HB0011,2024-RS,2024-02-13,House,H Placed on General File,,5
HB0011,2024-RS,2024-02-13,House,H05 - Agriculture:Recommend Amend and Do Pass 9-0-0-0-0,-10,4
HB0011,2024-RS,2024-02-12,House,H Introduced and Referred to H05 - Agriculture 61-0-1-0-0,5005,3
HB0011,2024-RS,2024-01-24,House,H Received for Introduction,,2
HB0011,2024-RS,2023-12-05,LSO,Bill Number Assigned,,1
HB0012,2024-RS,2024-03-05,LSO,Assigned Chapter Number 26,,20
HB0012,2024-RS,2024-03-05,Governor,Governor Signed HEA No. 0022,,19
HB0012,2024-RS,2024-03-01,Senate,S President Signed HEA No. 0022,,18
HB0012,2024-RS,2024-02-29,House,H Speaker Signed HEA No. 0022,,17
HB0012,2024-RS,2024-02-29,LSO,Assigned Number HEA No. 0022,,16
HB0012,2024-RS,2024-02-29,Senate,S 3rd Reading:Passed 29-0-2-0-0,526,15
HB0012,2024-RS,2024-02-28,Senate,S 2nd Reading:Passed,,14
HB0012,2024-RS,2024-02-27,Senate,S COW:Passed,,13
HB0012,2024-RS,2024-02-27,Senate,S Placed on General File,,12
HB0012,2024-RS,2024-02-27,Senate,S05 - Agriculture:Recommend Do Pass 5-0-1-0-0,-327,11
HB0012,2024-RS,2024-02-23,Senate,S Introduced and Referred to S05 - Agriculture,,10
HB0012,2024-RS,2024-02-23,Senate,S Received for Introduction,,9
HB0012,2024-RS,2024-02-23,House,H 3rd Reading:Passed 62-0-0-0-0,5311,8
HB0012,2024-RS,2024-02-22,House,H 2nd Reading:Passed,,7
HB0012,2024-RS,2024-02-21,House,H COW:Passed,,6
HB0012,2024-RS,2024-02-20,House,H Placed on General File,,5
HB0012,2024-RS,2024-02-20,House,H05 - Agriculture:Recommend Do Pass 9-0-0-0-0,-156,4
HB0012,2024-RS,2024-02-12,House,H Introduced and Referred to H05 - Agriculture 57-3-2-0-0,5025,3
HB0012,2024-RS,2024-01-24,House,H Received for Introduction,,2
HB0012,2024-RS,2023-12-05,LSO,Bill Number Assigned,,1
HB0013,2024-RS,2024-03-05,LSO,Assigned Chapter Number 25,,20
HB0013,2024-RS,2024-03-05,Governor,Governor Signed HEA No. 0021,,19
HB0013,2024-RS,2024-03-01,Senate,S President Signed HEA No. 0021,,18
HB0013,2024-RS,2024-02-29,House,H Speaker Signed HEA No. 0021,,17
HB0013,2024-RS,2024-02-29,LSO,Assigned Number HEA No. 0021,,16
HB0013,2024-RS,2024-02-29,Senate,S 3rd Reading:Passed 28-1-2-0-0,527,15
HB0013,2024-RS,2024-02-28,Senate,S 2nd Reading:Passed,,14
HB0013,2024-RS,2024-02-27,Senate,S COW:Passed,,13
HB0013,2024-RS,2024-02-27,Senate,S Placed on General File,,12
HB0013,2024-RS,2024-02-27,Senate,S05 - Agriculture:Recommend Do Pass 5-0-1-0-0,-328,11
HB0013,2024-RS,2024-02-23,Senate,S Introduced and Referred to S05 - Agriculture,,10
HB0013,2024-RS,2024-02-23,Senate,S Received for Introduction,,9
HB0013,2024-RS,2024-02-23,House,H 3rd Reading:Passed 62-0-0-0-0,5312,8
HB0013,2024-RS,2024-02-22,House,H 2nd Reading:Passed,,7
HB0013,2024-RS,2024-02-21,House,H COW:Passed,,6
HB0013,2024-RS,2024-02-20,House,H Placed on General File,,5
HB0013,2024-RS,2024-02-20,House,H05 - Agriculture:Recommend Do Pass 9-0-0-0-0,-157,4
HB0013,2024-RS,2024-02-13,House,H Introduced and Referred to H05 - Agriculture 61-0-1-0-0,5053,3
HB0013,2024-RS,2024-01-24,House,H Received for Introduction,,2
HB0013,2024-RS,2023-12-05,LSO,Bill Number Assigned,,1
HB0014,2024-RS,2024-03-04,LSO,Assigned Chapter Number 19,,23
HB0014,2024-RS,2024-03-04,Governor,Governor Signed HEA No. 0014,,22
HB0014,2024-RS,2024-02-29,Senate,S President Signed HEA No. 0014,,21
HB0014,2024-RS,2024-02-29,House,H Speaker Signed HEA No. 0014,,20
HB0014,2024-RS,2024-02-28,LSO,Assigned Number HEA No. 0014,,19
HB0014,2024-RS,2024-02-28,House,H Concur:Passed 61-0-1-0-0,5365,18
HB0014,2024-RS,2024-02-28,House,H Received for Concurrence,,17
HB0014,2024-RS,2024-02-28,Senate,S 3rd Reading:Passed 31-0-0-0-0,508,16
HB0014,2024-RS,2024-02-27,Senate,S 2nd Reading:Passed,,15
HB0014,2024-RS,2024-02-26,Senate,S COW:Passed,,14
HB0014,2024-RS,2024-02-23,Senate,S Placed on General File,,13
HB0014,2024-RS,2024-02-23,Senate,S10 - Labor:Recommend Amend and Do Pass 5-0-0-0-0,-292,12
HB0014,2024-RS,2024-02-20,Senate,S Introduced and Referred to S10 - Labor,,11
HB0014,2024-RS,2024-02-19,Senate,S Received for Introduction,,10
HB0014,2024-RS,2024-02-19,House,H 3rd Reading:Passed 61-0-1-0-0,5168,9
HB0014,2024-RS,2024-02-16,House,H 2nd Reading:Passed,,8
HB0014,2024-RS,2024-02-15,House,H COW:Passed,,7
HB0014,2024-RS,2024-02-14,House,H Placed on General File,,6
HB0014,2024-RS,2024-02-14,House,H10 - Labor:Recommend Amend and Do Pass 9-0-0-0-0,-34,5
HB0014,2024-RS,2024-02-12,House,H Introduced and Referred to H10 - Labor 56-4-2-0-0,5015,4
HB0014,2024-RS,2024-01-24,House,H Received for Introduction,,3
HB0014,2024-RS,2024-01-11,LSO,Bill Number Assigned,,2
HB0014,2024-RS,2023-12-07,LSO,Bill Number Assigned,,1
HB0015,2024-RS,2024-03-05,LSO,Assigned Chapter Number 30,,20
HB0015,2024-RS,2024-03-05,Governor,Governor Signed HEA No. 0020,,19
HB0015,2024-RS,2024-03-01,Senate,S President Signed HEA No. 0020,,18
HB0015,2024-RS,2024-02-29,House,H Speaker Signed HEA No. 0020,,17
HB0015,2024-RS,2024-02-29,LSO,Assigned Number HEA No. 0020,,16
HB0015,2024-RS,2024-02-29,Senate,S 3rd Reading:Passed 29-0-2-0-0,528,15
HB0015,2024-RS,2024-02-28,Senate,S 2nd Reading:Passed,,14
HB0015,2024-RS,2024-02-27,Senate,S COW:Passed,,13
HB0015,2024-RS,2024-02-26,Senate,S Placed on General File,,12
HB0015,2024-RS,2024-02-26,Senate,S10 - Labor:Recommend Do Pass 5-0-0-0-0,-318,11
HB0015,2024-RS,2024-02-20,Senate,S Introduced and Referred to S10 - Labor,,10
HB0015,2024-RS,2024-02-19,Senate,S Received for Introduction,,9
HB0015,2024-RS,2024-02-16,House,H 3rd Reading:Passed 61-0-1-0-0,5155,8
HB0015,2024-RS,2024-02-15,House,H 2nd Reading:Passed,,7
HB0015,2024-RS,2024-02-14,House,H COW:Passed,,6
HB0015,2024-RS,2024-02-14,House,H Placed on General File,,5
HB0015,2024-RS,2024-02-14,House,H10 - Labor:Recommend Do Pass 9-0-0-0-0,-33,4
HB0015,2024-RS,2024-02-12,House,H Introduced and Referred to H10 - Labor 60-0-2-0-0,5027,3
HB0015,2024-RS,2024-01-24,House,H Received for Introduction,,2
HB0015,2024-RS,2023-12-07,LSO,Bill Number Assigned,,1
HB0016,2024-RS,2024-03-04,LSO,Assigned Chapter Number 12,,20
HB0016,2024-RS,2024-03-04,Governor,Governor Signed HEA No. 0010,,19
HB0016,2024-RS,2024-02-29,Senate,S President Signed HEA No. 0010,,18
HB0016,2024-RS,2024-02-28,House,H Speaker Signed HEA No. 0010,,17
HB0016,2024-RS,2024-02-28,LSO,Assigned Number HEA No. 0010,,16
HB0016,2024-RS,2024-02-28,Senate,S 3rd Reading:Passed 31-0-0-0-0,509,15
HB0016,2024-RS,2024-02-27,Senate,S 2nd Reading:Passed,,14
HB0016,2024-RS,2024-02-26,Senate,S COW:Passed,,13
HB0016,2024-RS,2024-02-22,Senate,S Placed on General File,,12
HB0016,2024-RS,2024-02-22,Senate,S06 - Travel:Recommend Do Pass 4-0-1-0-0,-266,11
HB0016,2024-RS,2024-02-20,Senate,S Introduced and Referred to S06 - Travel,,10
HB0016,2024-RS,2024-02-19,Senate,S Received for Introduction,,9
HB0016,2024-RS,2024-02-16,House,H 3rd Reading:Passed 60-1-1-0-0,5156,8
HB0016,2024-RS,2024-02-15,House,H 2nd Reading:Passed,,7
HB0016,2024-RS,2024-02-14,House,H COW:Passed,,6
HB0016,2024-RS,2024-02-13,House,H Placed on General File,,5
HB0016,2024-RS,2024-02-13,House,H06 - Travel:Recommend Do Pass 8-0-1-0-0,-19,4
HB0016,2024-RS,2024-02-12,House,H Introduced and Referred to H06 - Travel 55-6-1-0-0,5006,3
HB0016,2024-RS,2024-01-24,House,H Received for Introduction,,2
HB0016,2024-RS,2023-12-11,LSO,Bill Number Assigned,,1
HB0017,2024-RS,2024-02-12,House,H Failed Introduction 38-22-2-0-0,5028,3
HB0017,2024-RS,2024-01-24,House,H Received for Introduction,,2
HB0017,2024-RS,2023-12-11,LSO,Bill Number Assigned,,1
HB0018,2024-RS,2024-03-05,House,H:Died in Committee Returned Bill Pursuant to HR 5-4,,5
HB0018,2024-RS,2024-02-23,House,H No report prior to CoW Cutoff,,4
HB0018,2024-RS,2024-02-12,House,H Introduced and Referred to H03 - Revenue 56-4-2-0-0,5036,3
HB0018,2024-RS,2024-01-24,House,H Received for Introduction,,2
HB0018,2024-RS,2023-12-11,LSO,Bill Number Assigned,,1
HB0019,2024-RS,2024-02-12,House,H Failed Introduction 41-19-2-0-0,5037,3
HB0019,2024-RS,2024-01-24,House,H Received for Introduction,,2
HB0019,2024-RS,2023-12-12,LSO,Bill Number Assigned,,1
HB0020,2024-RS,2024-03-08,LSO,Assigned Chapter Number 66,,22
HB0020,2024-RS,2024-03-08,Governor,Governor Signed HEA No. 0036,,21
HB0020,2024-RS,2024-03-05,Senate,S President Signed HEA No. 0036,,20
HB0020,2024-RS,2024-03-05,House,H Speaker Signed HEA No. 0036,,19
HB0020,2024-RS,2024-03-04,LSO,Assigned Number HEA No. 0036,,18
HB0020,2024-RS,2024-03-04,House,H Concur:Passed 51-4-7-0-0,5411,17
HB0020,2024-RS,2024-03-04,House,H Received for Concurrence,,16
HB0020,2024-RS,2024-03-01,Senate,S 3rd Reading:Passed 30-0-1-0-0,544,15
HB0020,2024-RS,2024-02-29,Senate,S 2nd Reading:Passed,,14
HB0020,2024-RS,2024-02-28,Senate,S COW:Passed,,13
HB0020,2024-RS,2024-02-23,Senate,S Placed on General File,,12
HB0020,2024-RS,2024-02-23,Senate,S04 - Education:Recommend Amend and Do Pass 5-0-0-0-0,-283,11
HB0020,2024-RS,2024-02-20,Senate,S Introduced and Referred to S04 - Education,,10
HB0020,2024-RS,2024-02-19,Senate,S Received for Introduction,,9
HB0020,2024-RS,2024-02-19,House,H 3rd Reading:Passed 54-7-1-0-0,5169,8
HB0020,2024-RS,2024-02-16,House,H 2nd Reading:Passed,,7
HB0020,2024-RS,2024-02-15,House,H COW:Passed,,6
HB0020,2024-RS,2024-02-14,House,H Placed on General File,,5
HB0020,2024-RS,2024-02-14,House,H04 - Education:Recommend Do Pass 9-0-0-0-0,-45,4
HB0020,2024-RS,2024-02-12,House,H Introduced and Referred to H04 - Education 53-7-2-0-0,5016,3
HB0020,2024-RS,2024-01-24,House,H Received for Introduction,,2
HB0020,2024-RS,2023-12-12,LSO,Bill Number Assigned,,1
HB0021,2024-RS,2024-03-04,LSO,Assigned Chapter Number 11,,20
HB0021,2024-RS,2024-03-04,Governor,Governor Signed HEA No. 0009,,19
HB0021,2024-RS,2024-02-29,Senate,S President Signed HEA No. 0009,,18
HB0021,2024-RS,2024-02-28,House,H Speaker Signed HEA No. 0009,,17
HB0021,2024-RS,2024-02-28,LSO,Assigned Number HEA No. 0009,,16
HB0021,2024-RS,2024-02-28,Senate,S 3rd Reading:Passed 30-1-0-0-0,510,15
HB0021,2024-RS,2024-02-27,Senate,S 2nd Reading:Passed,,14
HB0021,2024-RS,2024-02-26,Senate,S COW:Passed,,13
HB0021,2024-RS,2024-02-23,Senate,S Placed on General File,,12
HB0021,2024-RS,2024-02-23,Senate,S04 - Education:Recommend Do Pass 5-0-0-0-0,-282,11
HB0021,2024-RS,2024-02-20,Senate,S Introduced and Referred to S04 - Education,,10
HB0021,2024-RS,2024-02-19,Senate,S Received for Introduction,,9
HB0021,2024-RS,2024-02-19,House,H 3rd Reading:Passed 61-0-1-0-0,5170,8
HB0021,2024-RS,2024-02-16,House,H 2nd Reading:Passed,,7
HB0021,2024-RS,2024-02-15,House,H COW:Passed,,6
HB0021,2024-RS,2024-02-14,House,H Placed on General File,,5
HB0021,2024-RS,2024-02-14,House,H04 - Education:Recommend Amend and Do Pass 9-0-0-0-0,-46,4
HB0021,2024-RS,2024-02-12,House,H Introduced and Referred to H04 - Education 61-0-1-0-0,5007,3
HB0021,2024-RS,2024-01-24,House,H Received for Introduction,,2
HB0021,2024-RS,2023-12-14,LSO,Bill Number Assigned,,1
HB0022,2024-RS,2024-02-12,House,H Failed Introduction 1-59-2-0-0,5038,3
HB0022,2024-RS,2024-01-24,House,H Received for Introduction,,2
HB0022,2024-RS,2023-12-15,LSO,Bill Number Assigned,,1
HB0023,2024-RS,2024-03-04,LSO,Assigned Chapter Number 20,,20
HB0023,2024-RS,2024-03-04,Governor,Governor Signed HEA No. 0008,,19
HB0023,2024-RS,2024-02-29,Senate,S President Signed HEA No. 0008,,18
HB0023,2024-RS,2024-02-28,House,H Speaker Signed HEA No. 0008,,17
HB0023,2024-RS,2024-02-28,LSO,Assigned Number HEA No. 0008,,16
HB0023,2024-RS,2024-02-28,Senate,S 3rd Reading:Passed 31-0-0-0-0,511,15
HB0023,2024-RS,2024-02-27,Senate,S 2nd Reading:Passed,,14
HB0023,2024-RS,2024-02-26,Senate,S COW:Passed,,13
HB0023,2024-RS,2024-02-23,Senate,S Placed on General File,,12
HB0023,2024-RS,2024-02-23,Senate,S08 - Transportation:Recommend Do Pass 5-0-0-0-0,-302,11
HB0023,2024-RS,2024-02-21,Senate,S Introduced and Referred to S08 - Transportation,,10
HB0023,2024-RS,2024-02-21,Senate,S Received for Introduction,,9
HB0023,2024-RS,2024-02-21,House,H 3rd Reading:Passed 62-0-0-0-0,5231,8
HB0023,2024-RS,2024-02-20,House,H 2nd Reading:Passed,,7
HB0023,2024-RS,2024-02-19,House,H COW:Passed,,6
HB0023,2024-RS,2024-02-16,House,H Placed on General File,,5
HB0023,2024-RS,2024-02-16,House,H08 - Transportation:Recommend Do Pass 9-0-0-0-0,-69,4
HB0023,2024-RS,2024-02-14,House,H Introduced and Referred to H08 - Transportation 56-5-1-0-0,5078,3
HB0023,2024-RS,2024-01-24,House,H Received for Introduction,,2
HB0023,2024-RS,2023-12-21,LSO,Bill Number Assigned,,1
HB0024,2024-RS,2024-03-05,Senate,S:Died in Committee Returned Bill Pursuant to SR 5-4,,12
HB0024,2024-RS,2024-03-05,Senate,S No report prior to CoW Cutoff,,11
HB0024,2024-RS,2024-02-21,Senate,S Introduced and Referred to S10 - Labor,,10
HB0024,2024-RS,2024-02-21,Senate,S Received for Introduction,,9
HB0024,2024-RS,2024-02-21,House,H 3rd Reading:Passed 58-4-0-0-0,5232,8
