bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1646598,1345094,2023-06-16,Senate,"Senate Committee Do pass with amendments. (Printed A-Eng.)",3,0,0,2,5
1646598,1346122,2023-06-21,Senate,"Senate Third Reading",21,4,0,5,30
1646598,1346794,2023-06-22,House,"House Committee Do pass with amendments. (Printed B-Eng.)",7,0,0,0,7
1646598,1347215,2023-06-23,House,"House Third Reading",52,0,0,8,60
1646598,1347307,2023-06-24,Senate,"Senate Third Reading in Concurrence",20,5,0,5,30
1646600,1291539,2023-04-03,House,"House Committee Do pass with amendments. (Printed A-Eng.)",8,3,0,0,11
1646600,1300932,2023-04-13,House,"House Third Reading",35,19,0,6,60
1646601,1275849,2023-03-14,House,"House Committee Do pass with amendments and be referred to Ways and Means by prior reference. (Printed A-Eng.)",8,0,0,1,9
1646604,1239880,2023-02-01,House,"House Committee Do Pass",7,0,0,0,7
1646604,1247066,2023-02-09,House,"House Third Reading",60,0,0,0,60
1646604,1321235,2023-05-09,Senate,"Senate Committee Do pass",5,0,0,2,7
1646604,1346125,2023-06-21,Senate,"Senate Third Reading",25,0,0,5,30
1646605,1249770,2023-02-13,House,"House Committee Without recommendation as to passage, be referred to Higher Education, and then to Ways and Means by prior reference",7,0,0,0,7
1646605,1294436,2023-04-04,House,"House Committee Do pass with amendments and be referred to Ways and Means by prior reference. (Printed A-Eng.)",7,2,0,0,9
1646606,1291121,2023-04-03,House,"House Committee Do pass with amendments. (Printed A-Eng.)",9,0,0,1,10
1646606,1301222,2023-04-13,House,"House Third Reading",50,1,0,9,60
1646606,1321393,2023-05-09,Senate,"Senate Committee Do pass with amendments to the A-Eng bill. (Printed B-Eng.)",3,0,0,2,5
1646606,1346084,2023-06-21,Senate,"Senate Third Reading",25,0,0,5,30
1646606,1347236,2023-06-23,House,"House Third Reading in Concurrence",52,1,0,7,60
1646608,1284905,2023-03-27,House,"House Committee Do pass with amendments and be referred to Ways and Means. (Printed A-Eng.)",10,0,0,0,10
1646608,1324414,2023-05-12,House,"House Committee Do Pass the A-Eng bill",19,1,0,3,23
1646608,1327784,2023-05-18,House,"House Third Reading",57,2,0,1,60
1646608,1347127,2023-06-23,Senate,"Senate Third Reading",23,1,0,6,30
1646610,1271107,2023-03-08,House,"House Committee Do Pass",7,0,0,0,7
1646610,1275307,2023-03-14,House,"House Third Reading",57,0,0,3,60
1646610,1319082,2023-05-04,Senate,"Senate Committee Do pass",5,0,0,2,7
1646610,1346104,2023-06-21,Senate,"Senate Third Reading",24,0,0,6,30
1646613,1235919,2023-01-25,Senate,"Senate Committee Do pass",4,0,0,1,5
1646613,1247132,2023-02-09,Senate,"Senate Third Reading",25,3,0,2,30
1646613,1269650,2023-03-07,House,"House Committee Do Pass",9,0,0,1,10
1646613,1281784,2023-03-22,House,"House Third Reading",56,0,0,4,60
1646614,1245310,2023-02-07,House,"House Committee Do Pass",7,0,0,0,7
1646614,1250854,2023-02-14,House,"House Third Reading",60,0,0,0,60
1646614,1275753,2023-03-14,Senate,"Senate Committee Do pass",4,0,0,1,5
1646614,1308904,2023-04-24,Senate,"Senate Third Reading",27,2,0,1,30
1646617,1246954,2023-02-09,House,"House Committee Do pass with amendments. (Printed A-Eng.)",5,1,0,1,7
1646617,1250804,2023-02-14,House,"House Third Reading",60,0,0,0,60
1646617,1316451,2023-05-02,Senate,"Senate Committee Do pass",5,0,0,1,6
1646617,1346375,2023-06-21,Senate,"Senate Third Reading",24,0,0,6,30
1646627,1238712,2023-01-31,House,"House Committee Do pass and be referred to Ways and Means by prior reference",7,0,0,0,7
1646632,1280519,2023-03-21,House,"House Committee Do pass and be referred to Ways and Means by prior reference",7,0,0,0,7
1646633,1291930,2023-04-03,Senate,"Senate Committee Do pass with amendments. (Printed A-Eng.)",3,2,0,1,6
1646633,1299284,2023-04-12,Senate,"Senate Motion to Refer",29,0,0,1,30
1646633,1313687,2023-04-27,Senate,"Senate Committee Do pass with amendments to the A-Eng bill. (Printed B-Eng.)",3,2,0,0,5
1646633,1345464,2023-06-20,Senate,"Senate Third Reading",17,8,0,5,30
1646633,1346525,2023-06-21,House,"House Committee Do Pass the B-Eng bill",4,2,0,1,7
1646633,1346998,2023-06-22,House,"House Third Reading",39,13,0,8,60
1646637,1291838,2023-04-03,House,"House Committee Do pass with amendments. (Printed A-Eng.)",5,4,0,0,9
1646637,1301121,2023-04-13,House,"House Third Reading",31,20,0,9,60
1646637,1322609,2023-05-10,Senate,"Senate Committee Do pass the A-Eng bill",3,1,0,1,5
1646637,1347149,2023-06-23,Senate,"Senate Third Reading",17,7,0,6,30
1646638,1264413,2023-02-28,Senate,"Senate Committee Without recommendation as to passage and be referred to Tax Expenditures by prior reference",5,0,0,0,5
1646640,1335956,2023-05-31,House,"House Committee Do pass with amendments. (Printed A-Eng.)",7,0,0,0,7
1646640,1340614,2023-06-07,House,"House Third Reading",58,0,0,2,60
1646640,1347121,2023-06-23,Senate,"Senate Committee Do pass the A-Eng bill",4,0,0,1,5
1646640,1347289,2023-06-24,Senate,"Senate Third Reading",19,6,0,5,30
1646643,1289889,2023-03-30,Senate,"Senate Committee Do pass with amendments and requesting subsequent referral to Ways and Means be rescinded. (Printed A-Eng.)",5,2,0,0,7
1646643,1299535,2023-04-12,Senate,"Senate Third Reading",14,15,0,1,30
1646643,1301141,2023-04-13,Senate,"Senate Motion to Reconsider",23,6,0,1,30
1646643,1301142,2023-04-13,Senate,"Senate Motion to Refer",29,0,0,1,30
1646643,1318852,2023-05-04,Senate,"Senate Committee Do pass with amendments to the A-Eng bill. (Printed B-Eng.)",4,0,0,1,5
1646643,1345533,2023-06-20,Senate,"Senate Third Reading",25,0,0,5,30
1646643,1346500,2023-06-21,House,"House Committee Do pass with amendments to the B-Eng bill. (Printed C-Eng.)",6,0,0,1,7
1646643,1347261,2023-06-23,House,"House Third Reading",52,0,0,8,60
1646643,1347324,2023-06-24,Senate,"Senate Third Reading in Concurrence",23,2,0,5,30
1646644,1281158,2023-03-22,House,"House Committee Do pass with amendments. (Printed A-Eng.)",7,4,0,0,11
1646644,1291171,2023-04-03,House,"House Third Reading",37,22,0,1,60
1646644,1309354,2023-04-25,Senate,"Senate Committee Do pass with amendments to the A-Eng bill. (Printed B-Eng.)",5,0,0,0,5
1646644,1316264,2023-05-02,Senate,"Senate Third Reading",16,12,0,2,30
1646644,1317540,2023-05-03,House,"House Third Reading in Concurrence",42,17,0,1,60
1646645,1313237,2023-04-27,Senate,"Senate Committee Do pass with amendments. (Printed A-Eng.)",3,2,0,0,5
1646645,1344443,2023-06-15,Senate,"Senate Motion to Refer",22,0,0,8,30
1646646,1277616,2023-03-16,House,"House Committee Do pass with amendments and be referred to Ways and Means by prior reference. (Printed A-Eng.)",4,3,0,0,7
1646647,1299873,2023-04-12,Senate,"Senate Withdraw from Committee",13,16,0,1,30
1646650,1280478,2023-03-21,House,"House Committee Do pass with amendments and be referred to Ways and Means. (Printed A-Eng.)",5,4,0,0,9
1646655,1235718,2023-01-25,Senate,"Senate Committee Do pass",4,0,0,1,5
1646655,1246821,2023-02-09,Senate,"Senate Third Reading",26,2,0,2,30
1646655,1272151,2023-03-09,House,"House Committee Do Pass",9,0,0,1,10
1646655,1283019,2023-03-23,House,"House Third Reading",57,0,0,3,60
1646664,1294041,2023-03-27,Senate,"Senate Committee Do pass with amendments. Refer to Ways and Means by prior reference. (Printed A-Eng)",5,0,0,1,6
1646665,1289560,2023-03-30,House,"House Committee Do pass with amendments, rescind subsequent referral to Tax Expenditures, and be referred to Ways and Means. (Printed A-Eng.)",4,3,0,0,7
1646666,1286354,2023-03-28,Senate,"Senate Committee Do pass with amendments. (Printed A-Eng.)",5,0,0,0,5
1646666,1298390,2023-04-11,Senate,"Senate Third Reading",29,0,0,1,30
1646666,1322941,2023-05-10,House,"House Committee Do Pass the A-Eng bill",6,0,0,4,10
1646666,1331195,2023-05-23,House,"House Third Reading",43,0,0,17,60
1646667,1247353,2023-02-09,House,"House Committee Do pass and be referred to Ways and Means by prior reference",10,0,0,0,10
1646671,1269301,2023-03-06,House,"House Committee Do Pass",7,0,0,0,7
1646671,1273779,2023-03-13,House,"House Third Reading",58,1,0,1,60
1646671,1318765,2023-05-04,Senate,"Senate Committee Do pass",5,0,0,2,7
1646671,1346327,2023-06-21,Senate,"Senate Third Reading",25,0,0,5,30
1646674,1269675,2023-03-07,Senate,"Senate Committee Do pass with amendments. (Printed A-Eng.)",5,0,0,0,5
1646674,1274837,2023-03-14,Senate,"Senate Third Reading",24,3,0,3,30
1646675,1266618,2023-03-01,Senate,"Senate Committee Do pass and refer to Ways and Means by prior reference",5,0,0,0,5
1646677,1292584,2023-04-03,House,"House Committee Do pass with amendments. (Printed A-Eng.)",10,0,0,1,11
1646677,1300122,2023-04-13,House,"House Third Reading",51,1,0,8,60
1646677,1324358,2023-05-10,Senate,"Senate Committee Do pass with amendments to the A-Eng bill, including amendments to resolve conflicts. (Printed B-Eng.)",3,0,0,3,6
1646677,1346040,2023-06-21,Senate,"Senate Third Reading",25,0,0,5,30
1646677,1346823,2023-06-22,House,"House Third Reading in Concurrence",52,0,0,8,60
1646678,1244706,2023-02-07,Senate,"Senate Committee Do pass with amendments. (Printed A-Eng.)",5,0,0,0,5
1646678,1257150,2023-02-21,Senate,"Senate Third Reading",26,3,0,1,30
1646678,1298713,2023-04-12,House,"House Committee Do Pass the A-Eng bill",9,1,0,0,10
1646678,1303380,2023-04-18,House,"House Third Reading",46,12,0,2,60
1646679,1291928,2023-04-03,Senate,"Senate Committee Do pass with amendments. (Printed A-Eng.)",5,0,0,0,5
1646679,1303460,2023-04-18,Senate,"Senate Third Reading",28,0,0,2,30
1646679,1323517,2023-05-10,House,"House Committee Do Pass the A-Eng bill",11,0,0,0,11
1646679,1331399,2023-05-23,House,"House Third Reading",54,0,0,6,60
1646680,1286617,2023-03-27,Senate,"Senate Committee Do pass",4,1,0,1,6
1646680,1298413,2023-04-11,Senate,"Senate Third Reading",17,12,0,1,30
1646680,1327404,2023-05-17,House,"House Committee Do Pass",10,1,0,0,11
1646680,1333986,2023-05-25,House,"House Third Reading",44,4,0,12,60
1646685,1329077,2023-05-18,House,"House Committee Do pass with amendments and be referred to Ways and Means. (Printed A-Eng.)",9,2,0,1,12
1646685,1337126,2023-05-31,House,"House Committee Do Pass",13,10,0,0,23
1646685,1341803,2023-06-08,House,"House Third Reading",31,24,0,5,60
1646685,1347032,2023-06-22,Senate,"Senate Third Reading",18,6,0,6,30
1646686,1282431,2023-03-22,Senate,"Senate Committee Do pass with amendments. (Printed A-Eng.)",3,2,0,1,6
1646686,1302736,2023-04-17,Senate,"Senate Third Reading",17,11,0,2,30
1646686,1321002,2023-05-08,House,"House Committee Do Pass the A-Eng bill",9,2,0,0,11
1646686,1331436,2023-05-23,House,"House Third Reading",36,15,0,9,60
1646690,1285164,2023-03-27,House,"House Committee Do pass and be referred to Tax Expenditures by prior reference",9,0,0,1,10
1646691,1293721,2023-04-04,Senate,"Senate Committee Do pass with amendments. (Printed A-Eng.)",5,2,0,0,7
1646691,1302889,2023-04-17,Senate,"Senate Third Reading",16,12,0,2,30
1646691,1326140,2023-05-16,House,"House Committee Do pass with amendments to the A-Eng bill. (Printed B-Eng.)",6,3,0,0,9
1646691,1333308,2023-05-25,House,"House Third Reading",33,14,0,13,60
1646691,1344998,2023-06-15,Senate,"Senate Third Reading in Concurrence",17,5,0,8,30
1646693,1263472,2023-02-28,House,"House Committee Do Pass",5,0,0,2,7
1646693,1270543,2023-03-07,House,"House Third Reading",56,3,0,1,60
1646693,1292617,2023-04-04,Senate,"Senate Committee Do pass",5,0,0,0,5
1646693,1309222,2023-04-24,Senate,"Senate Third Reading",17,12,0,1,30
1646700,1275998,2023-03-15,Senate,"Senate Committee Do pass with amendments. (Printed A-Eng.)",5,0,0,0,5
1646700,1286574,2023-03-28,Senate,"Senate Third Reading",27,2,0,1,30
1646700,1305705,2023-04-19,House,"House Committee Do Pass the A-Eng bill",9,0,0,1,10
1646700,1311038,2023-04-26,House,"House Third Reading",59,0,0,1,60
1646702,1288411,2023-03-29,House,"House Committee Without recommendation as to passage, with amendments, and be referred to Tax Expenditures, then to Ways and Means. (Printed A-Eng.)",10,0,0,0,10
1646705,1236442,2023-01-26,House,"House Committee Do Pass",10,0,0,0,10
1646705,1241554,2023-02-02,House,"House Third Reading",57,0,0,2,59
1646705,1264013,2023-02-28,Senate,"Senate Committee Do pass",4,0,0,1,5
1646705,1272272,2023-03-09,Senate,"Senate Third Reading",29,0,0,1,30
1646707,1275193,2023-03-13,Senate,"Senate Committee Do pass and requesting referral to Ways and Means",5,0,0,0,5
1646712,1262881,2023-02-27,Senate,"Senate Committee Do pass with amendments. (Printed A-Eng.)",4,0,0,1,5
1646712,1270228,2023-03-07,Senate,"Senate Third Reading",21,7,0,2,30
1646712,1317775,2023-05-03,House,"House Committee Do Pass the A-Eng bill",6,4,0,0,10
1646712,1323327,2023-05-11,House,"House Third Reading",37,14,0,9,60
1646716,1299930,2023-04-13,Senate,"Senate Withdraw from Committee",12,15,0,3,30
1646718,1294484,2023-04-04,House,"House Committee Do pass with amendments and be referred to Ways and Means by prior reference. (Printed A-Eng.)",7,0,0,0,7
1646725,1289900,2023-03-30,Senate,"Senate Committee Do pass",6,1,0,0,7
1646725,1298481,2023-04-11,Senate,"Senate Third Reading",24,4,0,2,30
1646725,1318087,2023-05-03,House,"House Committee Do Pass",7,0,0,0,7
1646725,1328934,2023-05-18,House,"House Third Reading",59,0,0,1,60
1646728,1291109,2023-04-03,Senate,"Senate Committee Without recommendation as to passage, but with amendments and requesting referral to Rules. (Printed A-Eng.)",4,1,0,0,5
1646728,1345673,2023-06-20,Senate,"Senate Committee Do pass the A-Eng bill",5,0,0,0,5
1646728,1345991,2023-06-21,Senate,"Senate Third Reading",20,5,0,5,30
1646728,1347094,2023-06-23,House,"House Committee Do Pass the A-Eng bill",6,1,0,0,7
1646728,1347345,2023-06-25,House,"House Third Reading",38,9,0,13,60
1646737,1293774,2023-04-04,Senate,"Senate Committee Do pass and requesting referral to Finance and Revenue",6,1,0,0,7
1646737,1337179,2023-06-01,Senate,"Senate Committee Do pass",5,0,0,0,5
1646737,1345429,2023-06-20,Senate,"Senate Third Reading",24,1,0,5,30
1646737,1347110,2023-06-23,House,"House Committee Do Pass",6,0,0,1,7
1646737,1347287,2023-06-24,House,"House Third Reading",47,3,0,10,60
1646743,1244906,2023-02-07,House,"House Committee Do pass and be referred to Tax Expenditures by prior reference",7,0,0,0,7
1646743,1307364,2023-04-21,House,"House Committee Do Pass",8,0,0,4,12
1646743,1312651,2023-04-27,House,"House Third Reading",57,0,0,3,60
1646743,1346355,2023-06-21,Senate,"Senate Third Reading",24,0,0,6,30
1646744,1297151,2023-04-10,Senate,"Senate Withdraw from Committee",12,16,0,2,30
1646745,1302798,2023-04-17,Senate,"Senate Withdraw from Committee",12,16,0,2,30
1646746,1278656,2023-03-20,House,"House Committee Without recommendation as to passage and be referred to Rules",8,2,0,0,10
1646746,1323752,2023-05-11,House,"House Committee Do pass with amendments. (Printed A-Eng.)",4,3,0,0,7
1646746,1326601,2023-05-17,House,"House Third Reading",36,23,0,1,60
1646746,1345859,2023-06-21,Senate,"Senate Committee Do pass the A-Eng bill",3,1,0,1,5
1646746,1347299,2023-06-24,Senate,"Senate Third Reading",17,8,0,5,30
1646748,1264399,2023-02-28,Senate,"Senate Committee Without recommendation as to passage and be referred to Tax Expenditures by prior reference",5,0,0,0,5
1646762,1282547,2023-03-22,House,"House Committee Do pass with amendments and be referred to Ways and Means by prior reference. (Printed A-Eng.)",10,0,0,1,11
1646763,1280070,2023-03-21,Senate,"Senate Committee Do pass with amendments. (Printed A-Eng.)",5,0,0,0,5
1646763,1294453,2023-04-05,Senate,"Senate Third Reading",25,3,0,2,30
1646763,1308261,2023-04-24,House,"House Committee Do Pass the A-Eng bill",9,0,0,2,11
1646763,1312600,2023-04-27,House,"House Third Reading",37,18,0,5,60
1646766,1291111,2023-04-03,Senate,"Senate Committee Without recommendation as to passage and request referral to Rules",3,2,0,0,5
1646766,1331301,2023-05-23,Senate,"Senate Committee Do pass with amendments and requesting referral to Ways and Means. (Printed A-Engrossed.)",5,0,0,0,5
1646766,1342988,2023-06-12,Senate,"Senate Committee Do pass with amendments to the A-Eng bill. (Printed B-Eng.)",14,3,0,6,23
1646766,1345357,2023-06-20,Senate,"Senate Third Reading",17,8,0,5,30
1646766,1346076,2023-06-21,House,"House Third Reading",31,19,0,10,60
1646767,1281691,2023-03-22,Senate,"Senate Committee Do pass with amendments. (Printed A-Eng.)",5,0,0,0,5
1646767,1298499,2023-04-11,Senate,"Senate Third Reading",24,4,0,2,30
1646767,1321475,2023-05-09,House,"House Committee Do pass with amendments to the A-Eng bill. (Printed B-Eng.)",8,0,0,1,9
1646767,1330869,2023-05-23,House,"House Third Reading",43,10,0,7,60
1646767,1344952,2023-06-15,Senate,"Senate Third Reading in Concurrence",22,0,0,8,30
1646768,1286407,2023-03-27,House,"House Committee Without recommendation as to passage and be referred to Rules",8,0,0,3,11
1646775,1274765,2023-03-13,House,"House Committee Do pass the bill and be referred to Ways and Means by prior reference",11,0,0,0,11
1646776,1336196,2023-05-31,Senate,"Senate Committee Do pass with amendments. (Printed A-Eng.)",4,1,0,0,5
1646776,1345728,2023-06-20,Senate,"Senate Third Reading",16,9,0,5,30
1646776,1347108,2023-06-23,House,"House Committee Do Pass the A-Eng bill",4,2,0,1,7
1646776,1347266,2023-06-23,House,"House Third Reading",35,20,0,5,60
1646778,1241460,2023-02-02,House,"House Committee Do pass with amendments. (Printed A-Eng.)",7,0,0,0,7
1646778,1247310,2023-02-09,House,"House Third Reading",59,1,0,0,60
1646778,1269676,2023-03-07,Senate,"Senate Committee Do pass",5,0,0,0,5
1646778,1277238,2023-03-16,Senate,"Senate Third Reading",22,5,0,3,30
1646786,1264219,2023-02-28,House,"House Committee Do Pass",5,0,0,2,7
1646786,1269238,2023-03-06,House,"House Third Reading",51,6,0,3,60
1646786,1280521,2023-03-21,Senate,"Senate Committee Do pass",4,0,0,1,5
1646786,1309284,2023-04-24,Senate,"Senate Third Reading",26,3,0,1,30
1646788,1278728,2023-03-20,House,"House Committee Do Pass",8,3,0,0,11
1646788,1287016,2023-03-28,House,"House Third Reading",33,23,0,4,60
1646788,1303621,2023-04-18,Senate,"Senate Committee Do pass",4,1,0,0,5
1646788,1346393,2023-06-21,Senate,"Senate Third Reading",18,6,0,6,30
1646790,1293405,2023-04-04,Senate,"Senate Committee Do pass with amendments and requesting referral to Ways and Means. (Printed A-Engrossed.)",4,1,0,0,5
1646791,1288390,2023-03-29,House,"House Committee Do pass with amendments. (Printed A-Eng.)",8,3,0,0,11
1646791,1300927,2023-04-13,House,"House Third Reading",38,14,0,8,60
1646791,1318678,2023-05-04,Senate,"Senate Committee Do pass the A-Eng bill",3,0,0,2,5
1646791,1346368,2023-06-21,Senate,"Senate Third Reading",18,6,0,6,30
1646797,1271022,2023-03-07,House,"House Committee Do Pass",10,1,0,0,11
1646797,1275399,2023-03-14,House,"House Third Reading",48,9,0,3,60
1646797,1323295,2023-05-08,Senate,"Senate Committee Do pass",3,0,0,3,6
1646797,1346047,2023-06-21,Senate,"Senate Third Reading",18,7,0,5,30
1646800,1293739,2023-04-04,Senate,"Senate Committee Do pass",6,1,0,0,7
1646800,1302920,2023-04-17,Senate,"Senate Third Reading",18,10,0,2,30
1646800,1324904,2023-05-15,House,"House Committee Do Pass",4,3,0,0,7
1646800,1333311,2023-05-25,House,"House Third Reading",33,21,0,6,60
1646802,1292436,2023-04-03,House,"House Committee Without recommendation as to passage, be referred to Transportation, and then to Ways and Means by prior reference",9,1,0,0,10
1646804,1280341,2023-03-21,House,"House Committee Without recommendation as to passage and be referred to Revenue",11,0,0,0,11
1646812,1282397,2023-03-22,House,"House Committee Do pass with amendments. (Printed A-Eng.)",10,0,0,1,11
1646812,1286629,2023-03-28,House,"House Third Reading",56,0,0,4,60
1646812,1324461,2023-05-10,Senate,"Senate Committee Do pass with amendments to the A-Eng bill. (Printed B-Eng.)",3,0,0,3,6
1646812,1346312,2023-06-21,Senate,"Senate Third Reading",22,2,0,6,30
1646812,1347109,2023-06-23,House,"House Third Reading in Concurrence",53,0,0,7,60
1646813,1239077,2023-01-31,House,"House Committee Do Pass",7,0,0,1,8
1646813,1245198,2023-02-07,House,"House Third Reading",57,0,0,2,59
1646813,1299039,2023-04-12,Senate,"Senate Committee Do pass",5,0,0,0,5
1646813,1308945,2023-04-24,Senate,"Senate Third Reading",29,0,0,1,30
1646814,1280239,2023-03-21,Senate,"Senate Committee Do pass",4,0,0,1,5
1646814,1294464,2023-04-05,Senate,"Senate Third Reading",20,8,0,2,30
1646814,1333104,2023-05-25,House,"House Committee Do pass with amendments. (Printed A-Eng.)",6,0,0,1,7
1646814,1336700,2023-06-01,House,"House Third Reading",51,0,0,9,60
1646814,1344515,2023-06-15,Senate,"Senate Third Reading in Concurrence",22,0,0,8,30
1646816,1263886,2023-02-27,Senate,"Senate Committee Do pass with amendments and requesting referral to Ways and Means. (Printed A-Engrossed.)",4,1,0,0,5
1646818,1285827,2023-03-27,House,"House Committee Do pass with amendments and be referred to Ways and Means by prior reference. (Printed A-Eng.)",9,0,0,0,9
1646821,1281220,2023-03-22,House,"House Committee Do pass with amendments and be referred to Ways and Means by prior reference. (Printed A-Eng.)",10,0,0,0,10
1646823,1289979,2023-03-30,House,"House Committee Do pass with amendments. (Printed A-Eng.)",9,0,0,0,9
1646823,1300520,2023-04-13,House,"House Third Reading",54,0,0,6,60
1646823,1320073,2023-05-08,Senate,"Senate Committee Do pass",4,0,0,1,5
1646823,1346380,2023-06-21,Senate,"Senate Third Reading",25,0,0,5,30
1646826,1236202,2023-01-26,House,"House Committee Do Pass",7,3,0,0,10
1646826,1240842,2023-02-02,House,"House Third Reading",49,8,0,2,59
1646826,1265550,2023-03-01,Senate,"Senate Committee Do pass",3,2,0,0,5
1646826,1274214,2023-03-13,Senate,"Senate Third Reading",16,13,0,1,30
1646827,1282921,2023-03-23,House,"House Committee Do pass with amendments and be referred to Ways and Means by prior reference. (Printed A-Eng.)",7,0,0,0,7
1646829,1234350,2023-01-23,House,"House Committee Without recommendation as to passage and be referred to Judiciary",10,0,0,0,10
1646831,1280050,2023-03-21,House,"House Committee Do pass with amendments and be referred to Ways and Means. (Printed A-Eng.)",6,4,0,0,10
1646831,1337527,2023-06-02,House,"House Committee Do pass with amendments to the A-Eng bill. (Printed B-Eng.)",15,7,0,1,23
1646831,1343614,2023-06-13,House,"House Third Reading",31,28,0,1,60
1646831,1346784,2023-06-22,Senate,"Senate Motion to Refer",22,2,0,6,30
1646831,1347091,2023-06-23,Senate,"Senate Committee Do pass with amendments to the B-Eng bill. (Printed C-Eng.)",3,1,0,1,5
1646831,1347332,2023-06-25,Senate,"Senate Third Reading",17,8,0,5,30
1646831,1347372,2023-06-25,House,"House Third Reading in Concurrence",31,20,0,9,60
1646840,1247388,2023-02-09,Senate,"Senate Committee Do pass with amendments. (Printed A-Eng.)",5,0,0,0,5
1646840,1258110,2023-02-22,Senate,"Senate Third Reading",23,4,0,3,30
1646840,1323663,2023-05-11,House,"House Committee Do Pass the A-Eng bill",5,2,0,0,7
1646845,1278953,2023-03-20,Senate,"Senate Committee Do pass and requesting referral to Ways and Means",5,0,0,0,5
1646845,1329545,2023-05-19,Senate,"Senate Committee Do pass",18,3,0,2,23
1646845,1345721,2023-06-20,Senate,"Senate Third Reading",20,5,0,5,30
1646845,1346364,2023-06-21,House,"House Third Reading",43,6,0,11,60
1646850,1277400,2023-03-16,House,"House Committee Do pass with amendments and be referred to Ways and Means by prior reference. (Printed A-Eng.)",10,1,0,0,11
1646851,1286422,2023-03-27,House,"House Committee Without recommendation as to passage, be referred to Rules, and then to Ways and Means by prior reference",8,0,0,3,11
1646851,1330922,2023-05-23,House,"House Committee Do pass with amendments and be referred to Ways and Means by prior reference. (Printed A-Eng.)",7,0,0,0,7
1646851,1342939,2023-06-12,House,"House Committee Do pass with amendments to the A-Eng bill. (Printed B-Eng.)",15,2,0,6,23
1646851,1344161,2023-06-14,House,"House Third Reading",53,4,0,3,60
1646851,1347118,2023-06-23,Senate,"Senate Committee Do pass with amendments to the B-Eng bill to resolve conflicts. (Printed C-Eng.)",13,8,0,2,23
1646851,1347337,2023-06-25,Senate,"Senate Third Reading",14,11,0,5,30
1646852,1325147,2023-05-16,House,"House Committee Without recommendation as to passage and be referred to Tax Expenditures",4,2,0,1,7
1646856,1294281,2023-04-04,Senate,"Senate Committee Do pass",7,0,0,0,7
1646856,1303761,2023-04-18,Senate,"Senate Third Reading",28,0,0,2,30
1646856,1326721,2023-05-17,House,"House Committee Do pass with amendments. (Printed A-Eng.)",4,3,0,0,7
1646856,1333826,2023-05-25,House,"House Third Reading",34,13,0,13,60
1646856,1344752,2023-06-15,Senate,"Senate Refuse to Concur",22,0,0,8,30
1646857,1247078,2023-02-09,Senate,"Senate Committee Do pass",7,0,0,0,7
1646857,1258320,2023-02-22,Senate,"Senate Third Reading",27,0,0,3,30
1646857,1321227,2023-05-09,House,"House Committee Do Pass",9,0,0,0,9
1646857,1330640,2023-05-23,House,"House Third Reading",55,0,0,5,60
1646858,1277617,2023-03-16,House,"House Committee Do Pass",11,0,0,0,11
1646858,1285825,2023-03-27,House,"House Third Reading",54,0,0,6,60
1646858,1303065,2023-04-18,Senate,"Senate Committee Do pass",5,0,0,0,5
1646858,1311432,2023-04-26,Senate,"Senate Third Reading",28,0,0,2,30
1646867,1291753,2023-04-03,House,"House Committee Do pass with amendments and be referred to Ways and Means by prior reference. (Printed A-Eng.)",8,1,0,1,10
1646867,1337524,2023-06-02,House,"House Committee Do Pass the A-Eng bill",19,3,0,1,23
1646867,1341883,2023-06-08,House,"House Third Reading",49,5,0,6,60
1646867,1347140,2023-06-23,Senate,"Senate Third Reading",24,0,0,6,30
1646873,1240465,2023-02-01,Senate,"Senate Committee Without recommendation as to passage and referral to Housing and Development and then to Ways and Means by prior reference",5,0,0,0,5
1646878,1306302,2023-04-20,Senate,"Senate Withdraw from Committee",12,15,0,3,30
1646879,1285854,2023-03-27,House,"House Committee Do pass with amendments and be referred to Ways and Means. (Printed A-Eng.)",8,1,0,1,10
1646880,1294462,2023-04-04,House,"House Committee Do pass with amendments. (Printed A-Eng.)",7,0,0,0,7
1646880,1301211,2023-04-13,House,"House Third Reading",51,0,0,9,60
1646880,1308204,2023-04-24,Senate,"Senate Committee Without recommendation as to passage and be returned to President's desk for referral to another committee",5,0,0,0,5
1646880,1320719,2023-05-09,Senate,"Senate Committee Do pass the A-Eng bill",3,0,0,3,6
1646880,1346392,2023-06-21,Senate,"Senate Third Reading",24,0,0,6,30
1646883,1272033,2023-03-08,House,"House Committee Do pass with amendments. (Printed A-Eng.)",6,3,0,1,10
1646883,1274814,2023-03-14,House,"House Third Reading",46,11,0,3,60
1646883,1313634,2023-04-27,Senate,"Senate Committee Do pass the A-Eng bill",4,1,0,0,5
1646883,1316176,2023-05-02,Senate,"Senate Third Reading",16,12,0,2,30
1646887,1286278,2023-03-27,House,"House Committee Do pass and be referred to Tax Expenditures by prior reference",9,0,0,2,11
1646888,1256988,2023-02-21,House,"House Committee Do pass with amendments and be referred to Ways and Means by prior reference. (Printed A-Eng.)",11,0,0,0,11
1646889,1302054,2023-04-17,Senate,"Senate Withdraw from Committee",12,16,0,2,30
1646890,1274989,2023-03-14,Senate,"Senate Committee Do pass with amendments. (Printed A-Eng.)",4,0,0,1,5
1646890,1281279,2023-03-22,Senate,"Senate Third Reading",29,0,0,1,30
1646890,1306546,2023-04-20,House,"House Committee Do Pass the A-Eng bill",7,0,0,0,7
