people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
6204,"Sara Gelser Blouin",Sara,,"Gelser Blouin",,,1,D,1,Rep,SD-008,13005239,46496,,Sara_Gelser,242297,0
6221,"Kim Thatcher",Lona,Kim,Thatcher,,Kim,2,R,1,Rep,SD-011,5092523,46657,,Kim_Thatcher,227709,0
6228,"Michael Dembrow",Michael,E.,Dembrow,,,1,D,1,Rep,SD-023,13005408,103193,,Michael_Dembrow,271238,0
6229,"Lew Frederick",Lew,,Frederick,,,1,D,1,Rep,SD-022,13005395,116854,,Lew_Frederick,282474,0
6241,"Gregory Smith",Gregory,V.,Smith,,,2,R,1,Rep,HD-057,13005467,46752,,Greg_Smith_(Oregon),205700,0
6251,"Paul Holvey",Paul,R.,Holvey,,,1,D,1,Rep,HD-008,5005046,46670,,Paul_Holvey,222091,0
6267,"Nancy Nathanson",Nancy,,Nathanson,,,1,D,1,Rep,HD-013,6469164,58128,,Nancy_Nathanson,249739,0
6275,"Fred Girod",Fred,,Girod,,,2,R,2,Sen,SD-009,5281005,69243,,Fred_Girod,249743,0
6279,"Brian Boquist",Brian,J.,Boquist,,,2,R,2,Sen,SD-012,2584901,46475,,Brian_Boquist,227707,0
6283,"Floyd Prozanski",Floyd,F.,Prozanski,,,1,D,2,Sen,SD-004,13005177,3024,,Floyd_Prozanski,212095,0
13858,"Elizabeth Steiner Hayward",Elizabeth,,"Steiner Hayward",,,1,D,2,Sen,SD-017,4974700,135217,,Elizabeth_Steiner_Hayward,392085,0
14772,"David Gomberg",David,,Gomberg,,,1,D,1,Rep,HD-010,6514531,135192,,David_Gomberg,390756,0
14780,"Bill Hansell",Bill,,Hansell,,,2,R,2,Sen,SD-029,10886867,96436,,Bill_Hansell,395941,0
14781,"Tim Knopp",Tim,,Knopp,,,2,R,2,Sen,SD-027,5142658,23696,,Tim_Knopp,198166,0
15768,"Chris Gorsek",Chris,,Gorsek,,,1,D,1,Rep,SD-025,6440685,46542,,Chris_Gorsek,401678,0
15769,"John Lively",John,D.,Lively,,,1,D,1,Rep,HD-007,10238475,136777,,John_Lively,395942,0
16808,"Paul Evans",Paul,,Evans,,,1,D,1,Rep,HD-020,935961,57891,,Paul_Evans_(Oregon),478101,0
16809,"Ken Helm",Ken,,Helm,,,1,D,1,Rep,HD-027,22206757,150835,,Ken_Helm,490809,0
16810,"Susan McLain",Susan,,McLain,,,1,D,1,Rep,HD-029,5181165,151034,,Susan_McLain,490807,0
16811,"Robert Nosse",Robert,A.,Nosse,Jr.,Rob,1,D,1,Rep,HD-042,14974670,150910,,Rob_Nosse,489955,0
16814,"Kathleen Taylor",Kathleen,,Taylor,,,1,D,1,Rep,SD-021,4989207,150928,,Kathleen_Taylor_(Oregon),490810,0
16818,"Cedric Hayden",Cedric,Ross,Hayden,,,2,R,2,Sen,SD-006,13434002,155196,,Cedric_Hayden,205692,0
16822,"Dan Rayfield",Dan,,Rayfield,,,1,D,1,Rep,HD-016,5023813,117366,,Dan_Rayfield,292458,0
17538,"Finance And Revenue",,,,,,0,,2,Sen,,0,0,,,0,1851
17543,Judiciary,,,,,,0,,1,Rep,,0,0,,,0,1844
17546,"Business And Labor",,,,,,0,,1,Rep,,0,0,,,0,1832
17554,Judiciary,,,,,,0,,2,Sen,,0,0,,,0,1846
17559,Rules,,,,,,0,,2,Sen,,0,0,,,0,1850
17565,"Health Care",,,,,,0,,2,Sen,,0,0,,,0,3185
17567,Rules,,,,,,0,,1,Rep,,0,0,,,0,1835
17619,Education,,,,,,0,,2,Sen,,0,0,,,0,3184
18581,"David Smith",David,Brock,Smith,,DB,2,R,1,Rep,HD-001,39434450,168016,,David_Smith_(Oregon),573666,0
18583,"Julianne Fahey",Julianne,,Fahey,,,1,D,1,Rep,HD-014,39434464,168037,,Julie_Fahey,556739,0
18585,"Pam Marsh",Pam,J.,Marsh,,,1,D,1,Rep,HD-005,5008202,168022,,Pam_Marsh,565345,0
18586,"Mark Meek",Mark,W.,Meek,,,1,D,1,Rep,SD-020,23399532,168081,,Mark_Meek,559263,0
18588,"Tawna Sanchez",Tawna,,Sanchez,,,1,D,1,Rep,HD-043,39434517,168092,,Tawna_Sanchez,560919,0
18596,"Dennis Linthicum",Dennis,B.,Linthicum,,,2,R,2,Sen,SD-028,5200963,132916,,Dennis_Linthicum,474249,0
18597,"James Manning",James,I.,Manning,Jr.,,1,D,2,Sen,SD-007,34819276,168035,,James_Manning_(Oregon),556737,0
18598,"Janelle Bynum",Janelle,,Bynum,,,1,D,1,Rep,HD-039,39434529,168102,,Janelle_Bynum,573682,0
18600,"Werner Reschke",Eric,Werner,Reschke,,Werner,2,R,1,Rep,HD-055,39434538,168110,,E._Werner_Reschke,573686,0
18601,"Janeen Sollman",Janeen,A.,Sollman,,,1,D,1,Rep,SD-015,39434497,168074,,Janeen_Sollman,573675,0
19236,"Human Services",,,,,,0,,2,Sen,,0,0,,,0,3563
19312,"Rick Lewis",Rick,,Lewis,,,2,R,1,Rep,HD-018,44284204,176436,,Rick_Lewis_(Oregon),617669,0
19398,"Ways and Means",,,,,,0,,3,Jnt,,0,0,,,0,1856
19542,"Jeff Helfrich",Jeff,,Helfrich,,,2,R,1,Rep,HD-052,44284203,178200,,Jeffrey_Helfrich,646682,0
19543,"Daniel Bonham",Daniel,,Bonham,,,2,R,1,Rep,SD-026,44284202,178197,,Daniel_Bonham,646024,0
19565,"Lynn Findley",Lynn,,Findley,,,2,R,1,Rep,SD-030,44284205,178199,,Lynn_Findley,654277,0
19566,"Rob Wagner",Rob,,Wagner,,,1,D,2,Sen,SD-019,16155295,178216,,Rob_Wagner,643184,0
20426,"Courtney Neron",Courtney,,Neron,,,1,D,1,Rep,HD-026,45957456,184580,,Courtney_Neron,682550,0
20429,"Jeffrey Golden",Jeffrey,S.,Golden,,Jeff,1,D,2,Sen,SD-003,44426795,179932,,Jeff_Golden_(Oregon),647928,0
20616,"Kimberly Wallan",Kimberly,D.,Wallan,,Kim,2,R,1,Rep,HD-006,40321730,179875,,Kim_Wallan,643271,0
20618,"Shelly Boshart Davis",Shelly,,"Boshart Davis",,,2,R,1,Rep,HD-015,44581553,179882,,Shelly_Boshart_Davis,657588,0
