bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1710996,2033,HB12,1,Introduced,2023-02-15,"Rename and revise duties of Department of Education and Workforce","To amend sections 5.224, 5.281, 9.231, 9.55, 102.02, 109.57, 109.572, 109.64, 109.65, 109.71, 109.72, 109.746, 113.73, 117.46, 121.02, 121.03, 121.35, 121.37, 121.40, 121.95, 124.15, 124.382, 124.384, 125.05, 125.13, 133.06, 133.061, 135.142, 149.331, 175.30, 197.04, 319.301, 901.71, 921.06, 2151.011, 2151.353, 2151.357, 2151.362, 2305.111, 2901.01, 2903.13, 2907.03, 2917.31, 2917.46, 2923.122, 2925.01, 2950.11, 2953.32, 3301.01, 3301.07, 3301.071, 3301.072, 3301.075, 3301.076, 3301.078, 3301.079, 3301.0710, 3301.0711, 3301.0712, 3301.0713, 3301.0714, 3301.0715, 3301.0716, 3301.0717, 3301.0718, 3301.0719, 3301.0720, 3301.0721, 3301.0723, 3301.0725, 3301.0726, 3301.0728, 3301.0730, 3301.10, 3301.11, 3301.12, 3301.121, 3301.131, 3301.133, 3301.134, 3301.135, 3301.136, 3301.14, 3301.15, 3301.16, 3301.162, 3301.163, 3301.18, 3301.19, 3301.22, 3301.221, 3301.23, 3301.27, 3301.28, 3301.30, 3301.311, 3301.40, 3301.45, 3301.49, 3301.52, 3301.521, 3301.53, 3301.54, 3301.541, 3301.55, 3301.56, 3301.57, 3301.58, 3301.59, 3301.61, 3301.62, 3301.63, 3301.64, 3301.68, 3301.70, 3301.80, 3301.81, 3301.923, 3301.94, 3301.941, 3301.948, 3302.01, 3302.02, 3302.021, 3302.03, 3302.031, 3302.032, 3302.033, 3302.034, 3302.035, 3302.036, 3302.037, 3302.038, 3302.039, 3302.04, 3302.041, 3302.042, 3302.043, 3302.05, 3302.06, 3302.062, 3302.063, 3302.066, 3302.068, 3302.07, 3302.09, 3302.10, 3302.103, 3302.11, 3302.12, 3302.13, 3302.14, 3302.15, 3302.151, 3302.17, 3302.20, 3302.21, 3302.22, 3302.25, 3302.26, 3302.41, 3302.42, 3303.02, 3303.04, 3303.05, 3303.06, 3303.20, 3304.12, 3307.01, 3307.05, 3307.31, 3309.011, 3309.48, 3309.491, 3309.51, 3310.01, 3310.02, 3310.03, 3310.031, 3310.032, 3310.033, 3310.036, 3310.07, 3310.11, 3310.13, 3310.14, 3310.15, 3310.16, 3310.17, 3310.41, 3310.411, 3310.42, 3310.51, 3310.52, 3310.521, 3310.522, 3310.53, 3310.58, 3310.59, 3310.62, 3310.63, 3310.64, 3310.70, 3311.056, 3311.08, 3311.16, 3311.17, 3311.19, 3311.191, 3311.213, 3311.214, 3311.217, 3311.218, 3311.521, 3311.53, 3311.60, 3311.71, 3311.74, 3311.741, 3311.76, 3311.86, 3311.87, 3312.01, 3312.02, 3312.04, 3312.07, 3312.08, 3312.09, 3312.13, 3313.03, 3313.25, 3313.30, 3313.413, 3313.472, 3313.48, 3313.483, 3313.484, 3313.487, 3313.488, 3313.489, 3313.4810, 3313.531, 3313.532, 3313.533, 3313.534, 3313.5310, 3313.5312, 3313.5314, 3313.56, 3313.57, 3313.60, 3313.603, 3313.605, 3313.608, 3313.6011, 3313.6013, 3313.6015, 3313.6016, 3313.6019, 3313.6020, 3313.6024, 3313.6027, 3313.61, 3313.611, 3313.612, 3313.614, 3313.615, 3313.618, 3313.619, 3313.6110, 3313.6111, 3313.6112, 3313.6113, 3313.6114, 3313.64, 3313.642, 3313.643, 3313.644, 3313.645, 3313.646, 3313.647, 3313.6410, 3313.65, 3313.66, 3313.662, 3313.671, 3313.674, 3313.71, 3313.7110, 3313.7111, 3313.7112, 3313.7113, 3313.7114, 3313.7115, 3313.7116, 3313.81, 3313.811, 3313.813, 3313.814, 3313.815, 3313.817, 3313.818, 3313.821, 3313.843, 3313.844, 3313.845, 3313.846, 3313.90, 3313.902, 3313.903, 3313.904, 3313.905, 3313.906, 3313.91, 3313.911, 3313.92, 3313.941, 3313.97, 3313.974, 3313.975, 3313.976, 3313.978, 3313.979, 3313.98, 3313.981, 3313.982, 3314.011, 3314.012, 3314.013, 3314.015, 3314.016, 3314.017, 3314.02, 3314.021, 3314.023, 3314.025, 3314.027, 3314.029, 3314.0211, 3314.03, 3314.032, 3314.034, 3314.035, 3314.038, 3314.039, 3314.041, 3314.05, 3314.06, 3314.072, 3314.074, 3314.08, 3314.081, 3314.083, 3314.087, 3314.091, 3314.10, 3314.101, 3314.11, 3314.12, 3314.143, 3314.144, 3314.147, 3314.17, 3314.18, 3314.19, 3314.191, 3314.20, 3314.21, 3314.22, 3314.232, 3314.24, 3314.26, 3314.27, 3314.271, 3314.28, 3314.29, 3314.35, 3314.351, 3314.353, 3314.354, 3314.36, 3314.38, 3314.50, 3314.51, 3315.18, 3315.181, 3315.33, 3315.34, 3315.35, 3316.03, 3316.031, 3316.04, 3316.041, 3316.042, 3316.05, 3316.06, 3316.08, 3316.20, 3317.01, 3317.011, 3317.012, 3317.014, 3317.015, 3317.017, 3317.019, 3317.02, 3317.021, 3317.022, 3317.023, 3317.024, 3317.025, 3317.026, 3317.028, 3317.0211, 3317.0212, 3317.0213, 3317.0214, 3317.0215, 3317.0217, 3317.0218, 3317.03, 3317.031, 3317.032, 3317.033, 3317.036, 3317.037, 3317.05, 3317.051, 3317.06, 3317.061, 3317.062, 3317.063, 3317.064, 3317.07, 3317.071, 3317.072, 3317.08, 3317.081, 3317.082, 3317.09, 3317.10, 3317.11, 3317.12, 3317.13, 3317.14, 3317.141, 3317.15, 3317.16, 3317.161, 3317.162, 3317.164, 3317.18, 3317.19, 3317.201, 3317.23, 3317.231, 3317.24, 3317.25, 3317.40, 3317.50, 3317.51, 3318.011, 3318.033, 3318.051, 3318.08, 3318.084, 3318.18, 3318.363, 3318.42, 3319.02, 3319.073, 3319.074, 3319.077, 3319.111, 3319.112, 3319.113, 3319.143, 3319.151, 3319.16, 3319.161, 3319.22, 3319.221, 3319.224, 3319.228, 3319.229, 3319.231, 3319.234, 3319.235, 3319.236, 3319.25, 3319.262, 3319.263, 3319.28, 3319.291, 3319.292, 3319.316, 3319.319, 3319.33, 3319.35, 3319.361, 3319.39, 3319.391, 3319.393, 3319.40, 3319.44, 3319.46, 3319.55, 3319.56, 3319.57, 3319.60, 3319.61, 3319.611, 3319.612, 3319.613, 3321.01, 3321.03, 3321.04, 3321.07, 3321.09, 3321.12, 3321.13, 3321.18, 3321.19, 3321.191, 3323.01, 3323.011, 3323.02, 3323.021, 3323.022, 3323.03, 3323.04, 3323.041, 3323.05, 3323.051, 3323.052, 3323.06, 3323.07, 3323.08, 3323.09, 3323.091, 3323.13, 3323.14, 3323.141, 3323.142, 3323.15, 3323.17, 3323.19, 3323.20, 3323.25, 3323.251, 3323.32, 3323.33, 3324.01, 3324.02, 3324.03, 3324.04, 3324.05, 3324.06, 3324.07, 3324.08, 3324.09, 3324.10, 3324.11, 3325.01, 3325.011, 3325.02, 3325.03, 3325.04, 3325.05, 3325.06, 3325.07, 3325.071, 3325.08, 3325.09, 3325.11, 3325.12, 3325.13, 3325.14, 3325.16, 3325.17, 3326.02, 3326.03, 3326.032, 3326.04, 3326.08, 3326.081, 3326.15, 3326.17, 3326.211, 3326.23, 3326.28, 3326.30, 3326.32, 3326.34, 3326.35, 3326.36, 3326.37, 3326.45, 3326.51, 3326.60, 3327.01, 3327.011, 3327.012, 3327.018, 3327.02, 3327.021, 3327.05, 3327.08, 3327.10, 3327.101, 3327.13, 3327.14, 3327.16, 3328.01, 3328.02, 3328.04, 3328.11, 3328.12, 3328.13, 3328.15, 3328.18, 3328.23, 3328.26, 3328.29, 3328.30, 3328.31, 3328.34, 3328.35, 3328.37, 3328.38, 3328.45, 3328.50, 3329.01, 3329.03, 3329.10, 3331.01, 3331.02, 3331.04, 3331.08, 3332.02, 3332.03, 3332.04, 3333.04, 3333.041, 3333.048, 3333.0411, 3333.0415, 3333.07, 3333.162, 3333.167, 3333.21, 3333.31, 3333.34, 3333.35, 3333.37, 3333.39, 3333.391, 3333.43, 3333.66, 3333.70, 3333.82, 3333.86, 3333.87, 3333.91, 3335.36, 3335.61, 3343.05, 3345.06, 3345.061, 3345.062, 3345.86, 3353.02, 3365.01, 3365.02, 3365.03, 3365.032, 3365.033, 3365.034, 3365.035, 3365.04, 3365.05, 3365.06, 3365.07, 3365.071, 3365.08, 3365.09, 3365.091, 3365.10, 3365.12, 3365.15, 3375.01, 3701.507, 3701.78, 3705.36, 3707.58, 3707.59, 3734.62, 3737.22, 3742.32, 3745.21, 3781.106, 3781.11, 3798.01, 4109.01, 4109.06, 4109.07, 4109.22, 4112.04, 4112.12, 4117.10, 4117.102, 4141.01, 4141.47, 4506.09, 4506.10, 4507.21, 4508.01, 4511.21, 4511.75, 4511.76, 4709.07, 4709.10, 4713.02, 4732.10, 4732.22, 4735.09, 4742.02, 4742.03, 4742.05, 4742.06, 4742.07, 4743.03, 4747.10, 4757.41, 4758.61, 4779.13, 5101.061, 5101.34, 5103.02, 5103.08, 5103.13, 5103.55, 5104.01, 5104.015, 5104.02, 5104.053, 5104.08, 5104.29, 5104.30, 5107.281, 5107.287, 5107.40, 5107.62, 5120.031, 5120.07, 5120.091, 5123.022, 5123.023, 5123.025, 5123.026, 5123.0423, 5126.04, 5126.05, 5126.23, 5126.24, 5139.34, 5145.06, 5162.363, 5162.365, 5502.262, 5502.263, 5513.04, 5703.21, 5705.216, 5705.391, 5705.412, 5709.07, 5709.92, 5715.26, 5715.34, 5747.057, 5747.72, 5753.11, 6109.21, 6301.04, 6301.11, 6301.111, 6301.112, 6301.15, 6301.21, 6301.22, and 6301.23; to enact new section 3301.13 and sections 3301.0731, 3301.111, 3301.132, and 3321.042; and to repeal sections 3301.13, 3302.101, and 3302.102 of the Revised Code; to rename the Department of Education as the Department of Education and Workforce; to create the position of Director of Education and Workforce; and to reform the functions and responsibilities of the State Board of Education and the Superintendent of Public Instruction.",4020,"House Primary and Secondary Education",2023-02-16,"Referred to committee: Primary and Secondary Education",https://legiscan.com/OH/bill/HB12/2023,https://www.legislature.ohio.gov/legislation/135/hb12
1710833,2033,HB13,1,Introduced,2023-02-15,"Redefine ""hybrid motor vehicle"" for registration fee purposes","To amend sections 4501.01 and 4503.10 of the Revised Code to redefine ""hybrid motor vehicle"" under the motor vehicle law for purposes of the additional registration fee applicable to those vehicles and to delay the effect of those changes until January 1, 2024.",4825,"House Homeland Security",2023-02-16,"Referred to committee: Homeland Security",https://legiscan.com/OH/bill/HB13/2023,https://www.legislature.ohio.gov/legislation/135/hb13
1710687,2033,HB14,1,Introduced,2023-02-15,"Regards equal parental time and responsibilities for a child","To amend sections 2151.23, 2317.02, 2705.031, 2710.05, 2710.06, 3105.21, 3105.63, 3105.65, 3109.04, 3109.042, 3109.043, 3109.05, 3109.052, 3109.06, 3109.061, 3109.09, 3109.11, 3109.12, 3109.41, 3109.53, 3109.55, 3109.56, 3109.65, 3113.31, 3119.01, 3119.08, 3119.24, 3119.964, 3310.51, 3313.98, 3319.321, 3333.26, 3796.24, 5104.039, 5120.653, and 5153.16; to amend, for the purpose of adopting new section numbers as indicated in parentheses, sections 3109.043 (3109.0436), 3109.052 (3109.0469), and 3109.053 (3109.0480); to enact sections 3109.044, 3109.045, 3109.046, 3109.047, 3109.048, 3109.0410, 3109.0411, 3109.0412, 3109.0413, 3109.0414, 3109.0415, 3109.0419, 3109.0420, 3109.0421, 3109.0422, 3109.0423, 3109.0424, 3109.0425, 3109.0426, 3109.0430, 3109.0431, 3109.0432, 3109.0433, 3109.0434, 3109.0435, 3109.0437, 3109.0438, 3109.0439, 3109.0440, 3109.0441, 3109.0442, 3109.0443, 3109.0445, 3109.0450, 3109.0451, 3109.0452, 3109.0453, 3109.0454, 3109.0455, 3109.0456, 3109.0457, 3109.0461, 3109.0462, 3109.0463, 3109.0466, 3109.0467, 3109.0468, 3109.0470, 3109.0471, 3109.0472, 3109.0473, 3109.0474, 3109.0475, 3109.0476, 3109.0477, 3109.0478, 3109.0479, 3109.0481, 3109.0482, 3109.0483, 3109.0484, 3109.0485, 3109.0486, 3109.0491, 3109.0492, 3109.0493, and 3109.0494; and to repeal sections 3109.041 and 3109.051 of the Revised Code regarding the allocation of parental rights and responsibilities to grant equal time and responsibility for a child.",110,"House Rules and Reference",2023-02-21,"Reported - Re-referred to Families and Aging: Rules and Reference",https://legiscan.com/OH/bill/HB14/2023,https://www.legislature.ohio.gov/legislation/135/hb14
1710770,2033,HB15,1,Introduced,2023-02-15,"Revise informed consent law regarding abortions","To amend sections 2305.15, 2317.56, 2919.11, 3726.14, and 4731.22; to enact sections 117.56, 2305.119, 3701.793, and 3701.794; and to repeal section 2317.561 of the Revised Code to revise the informed consent law regarding abortions.",4826,"House Public Health Policy",2023-02-16,"Referred to committee: Public Health Policy",https://legiscan.com/OH/bill/HB15/2023,https://www.legislature.ohio.gov/legislation/135/hb15
1710858,2033,HB16,1,Introduced,2023-02-15,"Enact the Ethics and Financial Disclosure Reform Act","To amend sections 101.15, 101.34, 101.70, 101.71, 101.72, 101.73, 101.74, 101.75, 101.76, 101.78, 101.90, 101.91, 101.92, 101.93, 101.95, 101.96, 101.98, 102.01, 102.02, 102.022, 102.03, 102.031, 102.06, 102.07, 102.08, 102.99, 109.54, 121.60, 121.61, 121.62, 121.63, 121.65, 121.66, 121.68, 122.651, 184.01, 184.03, 187.03, 2701.11, 2925.01, 2925.38, 3781.343, 4503.033, 4705.021, 4901.021, and 4901.99; to enact sections 101.741, 101.941, 102.10, 121.641, and 4901.022; and to repeal section 102.021 of the Revised Code to enact the Ethics and Financial Disclosure Reform Act to revise the law governing ethics and lobbying.",4443,"House Government Oversight",2023-02-16,"Referred to committee: Government Oversight",https://legiscan.com/OH/bill/HB16/2023,https://www.legislature.ohio.gov/legislation/135/hb16
1710701,2033,HB17,2,Engrossed,2023-06-14,"Prohibit state officials, employees from using TikTok, other apps","To enact section 125.183 of the Revised Code to prohibit state officials, employees, and contractors from using TikTok, WeChat, or any other application or service owned by an entity located in China.",4441,"Senate Financial Institutions and Technology",2023-06-21,"Referred to committee: Financial Institutions and Technology",https://legiscan.com/OH/bill/HB17/2023,https://www.legislature.ohio.gov/legislation/135/hb17
1711026,2033,HB18,1,Introduced,2023-02-15,"Allow military license plate applicant present county veterans ID","To amend section 4503.29 of the Revised Code to allow an applicant for a military license plate to present a county-issued veterans identification card as evidence of an honorable discharge.",4022,"House Armed Services and Veterans Affairs",2023-02-16,"Referred to committee: Armed Services and Veterans Affairs",https://legiscan.com/OH/bill/HB18/2023,https://www.legislature.ohio.gov/legislation/135/hb18
1710636,2033,HB19,1,Introduced,2023-02-15,"Designate Ohio World Hijab Day","To enact section 5.2320 of the Revised Code to designate February 1st as ""Ohio World Hijab Day.""",2905,"House State and Local Government",2023-02-16,"Referred to committee: State and Local Government",https://legiscan.com/OH/bill/HB19/2023,https://www.legislature.ohio.gov/legislation/135/hb19
1711196,2033,HB20,1,Introduced,2023-02-15,"Enact the Ohio Computer Crimes Act","To amend sections 109.42, 109.572, 109.88, 901.511, 2137.14, 2909.07, 2913.01, 2913.04, 2913.05, 2913.49, 2919.25, 2919.251, 2919.26, 2921.22, 2923.04, 2923.129, 2927.12, 2933.51, 3712.09, 3721.121, 3750.09, 3751.04, and 5503.101 and to enact sections 2913.86, 2913.87, 2913.88, 2913.89, 2913.90, 2913.91, 2913.92, 2913.93, and 2913.94 of the Revised Code to enact the Ohio Computer Crimes Act.",92,"House Criminal Justice",2023-02-16,"Referred to committee: Criminal Justice",https://legiscan.com/OH/bill/HB20/2023,https://www.legislature.ohio.gov/legislation/135/hb20
1711272,2033,HB21,1,Introduced,2023-02-15,"Require presidential primary election to be held in May","To amend section 3501.01 of the Revised Code to require a presidential primary election to be held on the first Tuesday after the first Monday in May.",4443,"House Government Oversight",2023-02-16,"Referred to committee: Government Oversight",https://legiscan.com/OH/bill/HB21/2023,https://www.legislature.ohio.gov/legislation/135/hb21
1710804,2033,HB22,2,Engrossed,2023-03-29,"Regards stroke care data; recognize stroke centers","To amend sections 3727.11, 3727.12, 3727.13, and 3727.14 and to enact section 3727.131 of the Revised Code regarding the collection of stroke care data and the recognition of thrombectomy-capable stroke centers.",4399,"Senate Health",2023-04-19,"Referred to committee: Health",https://legiscan.com/OH/bill/HB22/2023,https://www.legislature.ohio.gov/legislation/135/hb22
1710721,2033,HB23,4,Passed,2023-06-30,"Enact FY 2024-2025 transportation budget","To amend sections 117.16, 124.152, 303.02, 306.353, 519.02, 723.52, 4503.10, 4503.103, 4503.11, 4503.191, 4503.29, 4503.44, 4506.01, 4506.11, 4507.01, 4507.061, 4507.13, 4507.52, 4511.093, 4513.34, 4981.02, 4981.04, 5503.031, 5517.011, 5525.16, 5531.09, 5531.10, 5540.01, 5540.02, 5540.03, 5540.06, 5543.19, 5575.01, 5577.044, and 5709.50; to enact sections 746.01, 746.02, 746.03, 746.04, 746.05, 746.06, 746.07, 4503.107, 4505.131, 4506.072, 4507.021, 4507.063, 4507.511, 4517.262, 4955.50, 4955.51, 4999.09, 5501.521, and 5501.60; and to repeal section 5501.09 of the Revised Code and to amend Section 265.325 of H.B. 110 of the 134th General Assembly and Sections 223.15 as subsequently amended, 243.10, and 243.20 of H.B. 687 of the 134th General Assembly; and to repeal Section 15149 of the General Code, Section 1 of Am. S.B. 200 of the 98th General Assembly, and Section 3 of H.B. 69 of the 112th General Assembly to make current expense appropriations for fiscal year 2023, to make appropriations for programs related to transportation for the biennium beginning July 1, 2023, and ending June 30, 2025, and to provide authorization and conditions for the operation of those programs.",0,,2023-06-30,"Effective Certain provisions effective March 31, 2023 and July 1, 2023",https://legiscan.com/OH/bill/HB23/2023,https://www.legislature.ohio.gov/legislation/135/hb23
1710970,2033,HB24,2,Engrossed,2024-06-26,"Require health plan and Medicaid coverage of biomarker testing","To enact sections 3902.64 and 5164.13 of the Revised Code to require health benefit plan and Medicaid program coverage of biomarker testing.",3379,"Senate Insurance",2024-11-12,"Referred to committee: Insurance",https://legiscan.com/OH/bill/HB24/2023,https://www.legislature.ohio.gov/legislation/135/hb24
1710729,2033,HB25,1,Introduced,2023-02-15,"Create Ohio Asian-American and Pacific Islander Affairs Comm","To enact sections 121.34 and 121.341 of the Revised Code to create the Ohio Asian-American and Pacific Islander Affairs Commission and the Office of Asian American and Pacific Islander Affairs and to make an appropriation.",2905,"House State and Local Government",2023-02-16,"Referred to committee: State and Local Government",https://legiscan.com/OH/bill/HB25/2023,https://www.legislature.ohio.gov/legislation/135/hb25
1711058,2033,HB26,2,Engrossed,2023-12-06,"Designate Town and Country Firefighter Lt. Philip M. Wigal Hwy","To enact section 5534.485 of the Revised Code to designate a portion of State Route 301 in Wayne County as the ""Town and Country Firefighter Lt. Philip M. Wigal Memorial Highway.""",3020,"Senate Transportation",2023-12-13,"Referred to committee: Transportation",https://legiscan.com/OH/bill/HB26/2023,https://www.legislature.ohio.gov/legislation/135/hb26
1710778,2033,HB27,3,Enrolled,2024-02-28,"Require state higher ed provide financial cost and aid disclosure","To amend sections 5101.192, 5101.193, 5101.194, and to enact section 3345.026 of the Revised Code and to amend Sections 307.10 and 307.140 of H.B. 33 of the 135th General Assembly to amend the versions of sections 5101.193 and 5101.194 of the Revised Code that are scheduled to take effect on January 1, 2025, to continue the changes on and after that date, to require state institutions of higher education to provide financial cost and aid disclosure forms, to make an appropriation for the Adoption Grant Program, and to make certain capital appropriations and reappropriations for the biennium ending June 30, 2026.",0,,2024-02-28,"Passed - Amended",https://legiscan.com/OH/bill/HB27/2023,https://www.legislature.ohio.gov/legislation/135/hb27
1711203,2033,HB28,3,Enrolled,2024-12-11,"Designate Triple Negative Breast Cancer Awareness Month","To enact section 5.2535 of the Revised Code to designate March as ""Triple Negative Breast Cancer Awareness Month.""",0,,2024-12-17,"Sent To The Governor",https://legiscan.com/OH/bill/HB28/2023,https://www.legislature.ohio.gov/legislation/135/hb28
1711112,2033,HB29,3,Enrolled,2024-12-18,"Regards driver's license suspensions-failure to pay child support","To amend sections 1901.44, 1905.202, 1907.25, 2925.02, 2925.03, 2925.04, 2925.041, 2925.05, 2925.06, 2925.11, 2925.12, 2925.13, 2925.14, 2925.22, 2925.23, 2925.31, 2925.32, 2925.36, 2925.37, 2935.26, 2935.27, 2937.40, 2947.09, 3123.54, 3123.56, 3123.58, 3321.13, 3321.191, 4501.06, 4503.10, 4503.102, 4503.12, 4503.20, 4503.39, 4507.212, 4509.101, 4509.45, 4509.66, 4509.67, 4509.69, 4509.77, 4510.101, 4510.111, 4510.16, 4510.17, 4510.22, 4511.62, 4511.63, and 4511.64; to enact section 2929.33; and to repeal sections 2937.221 and 4510.32 of the Revised Code to make changes to the laws governing driver's license suspensions and to the laws governing penalties for failure to provide proof of financial responsibility.",0,,2024-12-18,Passed,https://legiscan.com/OH/bill/HB29/2023,https://www.legislature.ohio.gov/legislation/135/hb29
1710752,2033,HB30,2,Engrossed,2024-05-22,"Require correctional facilities supply feminine hygiene products","To enact sections 341.261, 753.321, and 5120.631 of the Revised Code regarding inmates' access to feminine hygiene products and showers by municipal and county correctional facilities and state correctional institutions.",4733,"Senate General Government",2024-06-11,"Referred to committee: General Government",https://legiscan.com/OH/bill/HB30/2023,https://www.legislature.ohio.gov/legislation/135/hb30
