bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1776050,1379131,2024-02-08,House,"House: Judiciary - Civil Committee: DO PASS",9,1,0,0,10
1776050,1391823,2024-02-21,House,"House: THIRD READING",85,13,0,3,101
1776050,1415630,2024-03-26,Senate,"Senate: Judiciary: DO PASS",7,3,0,0,10
1780235,1452007,2024-05-30,Senate,"Senate: THIRD READING",37,7,0,4,48
1780235,1452008,2024-05-30,House,"House: ADVANCE FROM GENERAL ORDER",71,11,0,19,101
1783795,1389191,2024-02-20,Senate,"Senate: Judiciary: DO PASS",7,4,0,0,11
1783796,1388319,2024-02-20,Senate,"Senate: Education: DO PASS",13,0,0,0,13
1783797,1394543,2024-02-26,Senate,"Senate: Agriculture & Rural Affairs: DO PASS",6,3,0,0,9
1783797,1406921,2024-03-11,Senate,"Senate: THIRD READING",37,9,0,2,48
1783797,1419090,2024-04-02,House,"House: Rules Committee: DO PASS",6,2,0,0,8
1783797,1432466,2024-04-23,House,"House: THIRD READING",67,29,0,5,101
1783799,1382675,2024-02-13,Senate,"Senate: : DO PASS",12,0,0,0,12
1783799,1387130,2024-02-13,Senate,"Senate: Aeronautics & Transportation: DO PASS",12,0,0,0,12
1783800,1396449,2024-02-27,Senate,"Senate: Education: DO PASS",10,1,0,0,11
1783800,1407732,2024-03-12,Senate,"Senate: THIRD READING",37,8,0,3,48
1783800,1422126,2024-04-08,House,"House: Appropriations and Budget Education Subcommittee: DO PASS AS AMENDED BY CS",12,0,0,0,12
1783800,1429873,2024-04-17,House,"House: Appropriations and Budget Committee: DO PASS AS AMENDED BY CS",31,0,0,0,31
1783801,1386091,2024-02-15,Senate,"Senate: Energy & Telecommunications: DO PASS",12,0,0,0,12
1784533,1376861,2024-02-06,Senate,"Senate: : DO PASS",10,2,0,0,12
1784533,1386471,2024-02-06,Senate,"Senate: Education: DO PASS",10,2,0,0,12
1784533,1388571,2024-02-20,Senate,"Senate: THIRD READING",38,7,0,3,48
1785247,1392875,2024-02-22,Senate,"Senate: General Government: DO PASS",8,2,0,0,10
1785247,1402744,2024-03-05,Senate,"Senate: THIRD READING",36,7,0,5,48
1785247,1418730,2024-04-02,House,"House: Public Safety Committee: E     DO PASS",6,0,0,0,6
1785247,1427779,2024-04-16,House,"House: THIRD READING",88,1,0,12,101
1785247,1451925,2024-05-30,Senate,"Senate: VETO OVERRIDE WITH EMERGENCY",37,7,0,4,48
1785247,1452298,2024-05-30,House,"House: VETO OVERRIDE WITH EMER",63,20,0,18,101
1785270,1382652,2024-02-13,Senate,"Senate: : DO PASS",12,0,0,0,12
1785270,1386480,2024-02-13,Senate,"Senate: Aeronautics & Transportation: DO PASS",12,0,0,0,12
1785270,1386481,2024-02-15,Senate,"Senate: THIRD READING",45,0,0,3,48
1785270,1418857,2024-04-02,House,"House: Public Safety Committee: DO PASS",6,0,0,0,6
1785270,1434608,2024-04-24,House,"House: THIRD READING",94,0,0,7,101
1785296,1383972,2024-02-13,Senate,"Senate: : DO PASS",10,0,0,0,10
1785296,1386380,2024-02-13,Senate,"Senate: Judiciary: DO PASS",10,0,0,0,10
1785296,1388486,2024-02-20,Senate,"Senate: THIRD READING",46,0,0,2,48
1785296,1419615,2024-04-03,House,"House: Judiciary - Criminal Committee: DO PASS",5,0,0,0,5
1785296,1427108,2024-04-15,House,"House: THIRD READING",86,3,0,12,101
1785814,1386092,2024-02-13,Senate,"Senate: Education: DO PASS",13,0,0,0,13
1785820,1399936,2024-02-29,Senate,"Senate: General Government: DO PASS",8,0,0,0,8
1785992,1392428,2024-02-22,Senate,"Senate: Health & Human Services: DO PASS",9,0,0,0,9
1786017,1386093,2024-02-15,Senate,"Senate: Public Safety: DO PASS",5,2,0,0,7
1786017,1409552,2024-03-14,Senate,"Senate: THIRD READING",33,6,0,9,48
1786017,1424314,2024-04-10,House,"House: State Powers Committee: DO PASS AS AMENDED BY CS",6,1,0,0,7
1786017,1433292,2024-04-23,House,"House: THIRD READING",74,19,1,7,101
1786028,1378100,2024-02-07,Senate,"Senate: : DO PASS",10,0,0,0,10
1786028,1382692,2024-02-13,Senate,"Senate: THIRD READING",48,0,0,0,48
1786028,1386717,2024-02-07,Senate,"Senate: Veterans & Military Affairs: DO PASS",48,0,0,0,48
1786028,1389256,2024-02-20,House,"House: Veterans and Military Affairs Committee: DO PASS",9,0,0,0,9
1786028,1397905,2024-02-28,House,"House: THIRD READING",79,0,0,22,101
1786036,1358077,2023-03-02,Senate,"Senate: Energy & Telecommunications: DO PASS",10,2,0,0,12
1786039,1358078,2023-04-13,Senate,"Senate: General Government: DO PASS",10,0,0,0,10
1786039,1358079,2023-04-24,Senate,"Senate: THIRD READING",45,0,0,3,48
1786039,1358080,2023-02-21,House,"House: General Government Committee: DO PASS",7,0,0,0,7
1786039,1358081,2023-03-07,House,"House: THIRD READING",97,0,0,4,101
1786042,1398901,2024-02-29,Senate,"Senate: Health & Human Services: DO PASS",11,1,0,0,12
1786042,1407422,2024-03-11,Senate,"Senate: THIRD READING",39,5,0,4,48
1786042,1424034,2024-04-10,House,"House: Business and Commerce Committee: DO PASS AS AMENDED BY CS",7,0,0,0,7
1786042,1434984,2024-04-25,House,"House: THIRD READING",62,29,0,10,101
1786042,1434985,2024-04-25,House,"House: EMERGENCY",62,29,0,10,101
1786043,1399691,2024-02-29,Senate,"Senate: Rules: DO PASS",17,1,0,0,18
1786043,1407479,2024-03-11,Senate,"Senate: THIRD READING",38,7,0,3,48
1786043,1422706,2024-04-09,House,"House: Rules Committee: DO PASS",7,2,0,0,9
1786043,1434478,2024-04-24,House,"House: THIRD READING",66,27,0,8,101
1786045,1358082,2023-02-09,Senate,"Senate: Committee On Health & Human Services: DO PASS AMENDED CS",11,0,0,0,11
1786045,1358083,2023-02-22,Senate,"Senate: Committee On Appropriations: DO PASS",19,0,0,0,19
1786045,1358084,2023-03-06,Senate,"Senate: THIRD READING",45,0,0,3,48
1786045,1358085,2023-04-05,House,"House: Public Health Committee: DO PASS",5,0,0,0,5
1786045,1358086,2023-04-25,House,"House: THIRD READING",88,2,1,10,101
1786046,1358087,2023-02-08,House,"House: ADOPT RESOLUTION",71,18,0,12,101
1786048,1358088,2023-02-20,Senate,"Senate: Finance: DO PASS",10,1,0,0,11
1786048,1358089,2023-03-01,Senate,"Senate: Appropriations: DO PASS",19,1,0,0,20
1786048,1358090,2023-03-08,Senate,"Senate: THIRD READING",42,0,0,6,48
1786048,1358091,2023-04-03,House,"House: Appropriations and Budget Transportation Subcommittee: DO PASS",8,0,0,0,8
1786048,1358092,2023-04-18,House,"House: Appropriations and Budget Committee: DO PASS AS AMENDED BY CS",34,0,0,0,34
1786048,1358093,2023-04-25,House,"House: THIRD READING",84,5,0,12,101
1786052,1389619,2024-02-20,Senate,"Senate: Judiciary: DO PASS",9,0,0,0,9
1786052,1394335,2024-02-26,Senate,"Senate: THIRD READING",46,0,0,2,48
1786052,1417215,2024-03-28,House,"House: Judiciary - Civil Committee: DO PASS",8,0,0,0,8
1786052,1427731,2024-04-16,House,"House: THIRD READING",84,3,0,14,101
1786055,1358094,2023-02-09,Senate,"Senate: Committee On Health & Human Services: DO PASS",11,0,0,0,11
1786055,1358095,2023-02-15,Senate,"Senate: Appropriations: DO PASS",20,0,0,0,20
1786055,1358096,2023-03-22,Senate,"Senate: substance abuse treatment",47,0,0,1,48
1786055,1358097,2023-04-13,House,"House: Rules Committee: DO PASS",9,0,0,0,9
1786055,1358098,2023-04-26,House,"House: THIRD READING",78,20,0,3,101
1786056,1358099,2023-02-20,Senate,"Senate: Tourism & Wildlife: DO PASS",8,1,0,0,9
1786056,1358100,2023-03-20,Senate,"Senate: THIRD READING",35,12,0,1,48
1786057,1358101,2023-02-16,House,"House: Judiciary - Civil Committee: DO PASS AS AMENDED BY CS",8,2,0,0,10
1786062,1358102,2023-02-27,House,"House: Higher Education and Career Tech Committee: DO PASS AS AMENDED BY CS",8,0,0,0,8
1786063,1358103,2023-02-28,House,"House: Insurance Committee: DO PASS AS AMENDED BY CS",8,0,0,0,8
1786063,1358104,2023-03-21,House,"House: THIRD READING",96,0,0,5,101
1786063,1425323,2024-04-11,Senate,"Senate: Health & Human Services: DO PASS",10,1,0,0,11
1786063,1433810,2024-04-24,Senate,"Senate: THIRD READING",41,3,0,4,48
1786071,1358105,2023-04-10,Senate,"Senate: Business & Commerce: DO PASS",11,0,0,0,11
1786071,1358106,2023-04-18,Senate,"Senate: THIRD READING",37,3,0,8,48
1786071,1358107,2023-02-15,House,"House: Business and Commerce Committee: DO PASS",9,0,0,0,9
1786071,1435925,2023-03-20,House,"House: THIRD READING",96,0,0,5,101
1786072,1358108,2023-04-06,Senate,"Senate: General Government: DO PASS",5,6,0,0,11
1786072,1358109,2023-02-09,House,"House: Judiciary - Civil Committee: DO PASS",10,0,0,0,10
1786072,1358110,2023-03-23,House,"House: THIRD READING",85,5,1,10,101
1786081,1358111,2023-02-13,Senate,"Senate: Business & Commerce: DO PASS",12,0,0,0,12
1786081,1358112,2023-03-09,Senate,"Senate: THIRD READING",43,0,0,5,48
1786081,1358113,2023-04-11,House,"House: Rules Committee: DO PASS",8,0,0,0,8
1786083,1358114,2023-04-04,Senate,"Senate: Aeronautics & Transportation: DO PASS",9,1,0,0,10
1786083,1358115,2023-04-26,Senate,"Senate: THIRD READING",43,2,0,3,48
1786083,1358116,2023-02-14,House,"House: Transportation Committee: DO PASS",11,0,0,0,11
1786083,1358117,2023-03-13,House,"House: THIRD READING",85,4,0,12,101
1786084,1395117,2024-02-26,House,"House: Banking, Financial Services and Pensions Committee: DO PASS AS AMENDED BY CS",10,0,0,0,10
1786084,1398290,2024-02-28,House,"House: Appropriations and Budget Committee: DO PASS AS AMENDED BY CS",36,0,0,0,36
1786085,1358118,2023-04-10,Senate,"Senate: Finance: DO PASS",6,4,2,0,12
1786085,1358119,2023-02-20,House,"House: Appropriations and Budget Finance Subcommittee: DO PASS",9,0,0,0,9
1786085,1358120,2023-03-01,House,"House: Appropriations and Budget Committee: DO PASS AS AMENDED BY CS",37,0,0,0,37
1786085,1358121,2023-03-21,House,"House: THIRD READING",75,0,0,26,101
1786091,1358122,2023-02-13,Senate,"Senate: Committee On Business & Commerce: DO PASS AMENDED",11,0,0,0,11
1786091,1358123,2023-02-22,Senate,"Senate: THIRD READING",46,0,0,2,48
1786091,1358124,2023-04-04,House,"House: Insurance Committee: DO PASS",5,0,0,0,5
1786091,1358125,2023-04-24,House,"House: THIRD READING",86,0,0,15,101
1786092,1358126,2023-02-21,Senate,"Senate: Committee On Retirement & Insurance: DO PASS",8,0,0,0,8
1786092,1358127,2023-03-01,Senate,"Senate: Appropriations: DO PASS",18,0,0,0,18
1786092,1358128,2023-03-08,Senate,"Senate: THIRD READING",45,2,0,1,48
1786092,1358129,2023-04-05,House,"House: Public Health Committee: DO PASS AS AMENDED BY CS",5,0,0,0,5
1786092,1358130,2023-04-26,House,"House: THIRD READING",93,2,0,6,101
1786096,1358131,2023-02-07,Senate,"Senate: Committee On Judiciary: DO PASS",12,0,0,0,12
1786096,1358132,2023-02-20,Senate,"Senate: THIRD READING",46,0,0,2,48
1786096,1358133,2023-05-25,Senate,"Senate: VETO OVERRIDE NO EMERGENCY",45,0,0,3,48
1786096,1358134,2023-04-05,House,"House: Judiciary - Criminal Committee: DO PASS",6,0,0,0,6
1786096,1358135,2023-04-19,House,"House: THIRD READING",93,0,0,8,101
1786096,1358136,2023-05-26,House,"House: VETO OVERRIDE WITHOUT EMER",93,0,0,8,101
1786099,1358137,2023-02-28,House,"House: Health Services and Long-Term Care Committee: DO PASS",4,3,0,0,7
1786100,1358138,2023-02-20,House,"House: Appropriations and Budget General Government Subcommittee: DO PASS AS AMENDED BY CS",5,3,0,0,8
1786100,1358139,2023-03-02,House,"House: Appropriations and Budget Committee: DO PASS AS AMENDED BY CS",31,0,0,0,31
1786100,1358140,2023-03-13,House,"House: THIRD READING",84,4,0,13,101
1786102,1358141,2023-04-11,Senate,"Senate: Education: DO PASS",6,4,0,0,10
1786102,1358142,2023-04-25,Senate,"Senate: THIRD READING",34,11,0,3,48
1786102,1358143,2023-02-22,House,"House: Appropriations and Budget Committee: DO PASS",32,1,0,0,33
1786102,1358144,2023-03-08,House,"House: THIRD READING",74,20,0,7,101
1786107,1358145,2023-02-14,House,"House: General Government Committee: DO PASS AS AMENDED BY CS",8,0,0,0,8
1786107,1393128,2024-02-21,House,"House: THIRD READING",86,0,0,15,101
1786107,1420945,2024-04-04,Senate,"Senate: General Government: DO PASS",8,1,0,0,9
1786107,1432259,2024-04-22,Senate,"Senate: THIRD READING",43,3,0,2,48
1786110,1358146,2023-02-09,Senate,"Senate: Committee On Energy & Telecommunications: DO PASS",9,2,0,0,11
1786110,1358147,2023-02-20,Senate,"Senate: THIRD READING",45,1,0,2,48
1786110,1358148,2023-04-11,House,"House: Government Modernization and Technology Committee: DO PASS",8,0,0,0,8
1786110,1358149,2023-04-27,House,"House: THIRD READING",78,1,0,22,101
1786112,1358150,2023-03-01,House,"House: Alcohol, Tobacco and Controlled Substances Committee: DO PASS AS AMENDED BY CS",7,0,0,0,7
1786114,1358151,2023-02-13,Senate,"Senate: Committee On Business & Commerce: DO PASS",11,0,0,0,11
1786114,1358152,2023-03-23,Senate,"Senate: THIRD READING",43,4,0,1,48
1786114,1358153,2023-04-12,House,"House: Alcohol, Tobacco and Controlled Substances Committee: DO PASS AS AMENDED BY CS",5,2,0,0,7
1786117,1358154,2023-02-23,Senate,"Senate: Committee On General Government: DO PASS",8,0,0,0,8
1786117,1358155,2023-03-01,Senate,"Senate: Appropriations: DO PASS",20,0,0,0,20
1786117,1358156,2023-03-08,Senate,"Senate: THIRD READING",48,0,0,0,48
1786117,1358157,2023-04-04,House,"House: Appropriations and Budget General Government Subcommittee: DO PASS",7,0,0,0,7
1786117,1358158,2023-04-18,House,"House: Appropriations and Budget Committee: DO PASS AS AMENDED, STRIKE THE T ITLE AND ENACTING CLAUSE",34,0,0,0,34
1786117,1358159,2023-04-27,House,"House: THIRD READING",82,4,0,15,101
1786118,1450445,2024-05-27,Senate,"Senate: Committee On Appropriations And Budget: DO PASS",19,0,0,0,19
1786118,1450446,2024-05-27,House,"House: Joint Committee on Appropriations and Budget Committee: DO PASS AS AMENDED BY CS",34,0,0,0,34
1786118,1450866,2024-05-28,House,"House: THIRD READING",86,3,0,12,101
1786118,1452180,2024-05-30,Senate,"Senate: THIRD READING",32,12,0,4,48
1786119,1358160,2023-02-23,House,"House: Judiciary - Civil Committee: DO PASS AS AMENDED BY CS",9,0,0,0,9
1786121,1358161,2023-02-09,Senate,"Senate: Committee On General Government: DO PASS AMENDED CS",10,0,0,0,10
1786121,1358162,2023-03-06,Senate,"Senate: THIRD READING",46,0,0,2,48
1786121,1358163,2023-04-04,House,"House: Government Modernization and Technology Committee: DO PASS",8,0,0,0,8
1786121,1358164,2023-04-20,House,"House: THIRD READING",87,0,0,14,101
1786123,1358165,2023-02-09,Senate,"Senate: Committee On Health & Human Services: DO PASS",11,0,0,0,11
1786123,1358166,2023-03-23,Senate,"Senate: THIRD READING",42,4,0,2,48
1786123,1358167,2023-04-11,House,"House: General Government Committee: A     DO PASS AS AMENDED BY CS",8,0,0,0,8
1786123,1358168,2023-04-26,House,"House: THIRD READING",80,2,0,19,101
1786127,1387499,2024-02-19,House,"House: Appropriations and Budget Human Services Subcommittee: DO PASS AS AMENDED BY CS",7,0,0,0,7
1786132,1358169,2023-02-20,Senate,"Senate: Finance: DO PASS",11,0,0,0,11
1786132,1358170,2023-03-01,Senate,"Senate: Appropriations: DO PASS",17,0,0,0,17
1786132,1358171,2023-03-09,Senate,"Senate: THIRD READING",41,0,0,7,48
1786132,1358172,2023-04-11,House,"House: General Government Committee: DO PASS",7,0,0,0,7
1786132,1358173,2023-04-26,House,"House: THIRD READING",91,2,0,8,101
1786133,1358174,2023-02-09,Senate,"Senate: Committee On Public Safety: DO PASS",12,0,0,0,12
1786133,1358175,2023-03-06,Senate,"Senate: THIRD READING",44,0,0,4,48
1786133,1358176,2023-05-25,Senate,"Senate: VETO OVERRIDE NO EMERGENCY",45,0,0,3,48
1786133,1358177,2023-04-05,House,"House: Criminal Justice and Corrections Committee: DO PASS",6,0,0,0,6
1786133,1358178,2023-04-19,House,"House: THIRD READING",76,18,0,7,101
1786134,1358179,2023-02-21,Senate,"Senate: Aeronautics & Transportation: DO PASS",11,1,0,0,12
1786134,1358180,2023-03-01,Senate,"Senate: Appropriations: DO PASS",20,0,0,0,20
1786134,1358181,2023-03-09,Senate,"Senate: THIRD READING",42,3,0,3,48
1786134,1358182,2023-05-23,Senate,"Senate: FOURTH READING",43,0,0,5,48
1786134,1358183,2023-04-05,House,"House: Appropriations and Budget Committee: DO PASS AS AMENDED BY CS",34,0,0,0,34
1786134,1358184,2023-04-27,House,"House: THIRD READING",78,3,0,20,101
1786140,1397552,2024-02-28,Senate,"Senate: Administrative Rules: DO PASS",9,0,0,0,9
1786148,1358185,2023-04-13,Senate,"Senate: General Government: DO PASS",7,2,0,0,9
1786148,1358186,2023-02-22,House,"House: Public Health Committee: DO PASS AS AMENDED BY CS",5,1,0,0,6
1786148,1358187,2023-03-23,House,"House: THIRD READING",76,19,0,6,101
1786148,1432357,2024-04-23,Senate,"Senate: THIRD READING",35,7,0,6,48
1786148,1451537,2024-05-29,House,"House: FOURTH READING",79,17,0,5,101
1786151,1358188,2023-04-11,Senate,"Senate: Judiciary: DO PASS",9,1,0,0,10
1786151,1358189,2023-04-24,Senate,"Senate: THIRD READING",42,6,0,0,48
1786151,1358190,2023-02-14,House,"House: General Government Committee: DO PASS",8,0,0,0,8
1786151,1358191,2023-02-21,House,"House: THIRD READING",90,3,0,8,101
1786153,1358192,2023-02-23,Senate,"Senate: Committee On General Government: DO PASS AMENDED",7,2,0,0,9
1786153,1358193,2023-02-23,Senate,"Senate: Committee On General Government: DO PASS",7,2,0,0,9
1786157,1358194,2023-02-28,Senate,"Senate: Committee On Judiciary: DO PASS",11,1,0,0,12
1786157,1358195,2023-03-07,Senate,"Senate: THIRD READING",46,0,0,2,48
1786157,1358196,2023-04-11,House,"House: General Government Committee: DO PASS",5,2,0,0,7
1786157,1433862,2024-04-24,House,"House: THIRD READING",71,7,1,22,101
1786158,1358197,2023-02-27,Senate,"Senate: Committee On Joint Committee On Appropriations And Budget: DO PASS",19,1,0,0,20
1786158,1358198,2023-03-02,Senate,"Senate: THIRD READING",43,3,0,2,48
1786158,1358199,2023-02-27,House,"House: Joint Committee on Appropriations and Budget Committee: DO PASS AS AMENDED BY CS",31,0,0,0,31
1786158,1358200,2023-02-28,House,"House: THIRD READING",88,3,0,10,101
1786159,1358201,2023-02-13,Senate,"Senate: Committee On Finance: DO PASS",11,2,0,0,13
1786159,1358202,2023-02-22,Senate,"Senate: Committee On Appropriations: DO PASS",19,2,0,0,21
1786159,1358203,2023-03-20,Senate,"Senate: THIRD READING",46,0,0,2,48
1786161,1396336,2024-02-27,House,"House: Rules Committee: DO PASS",6,2,0,0,8
1786161,1404608,2024-03-06,House,"House: THIRD READING",81,19,0,1,101
1786162,1358204,2023-02-22,House,"House: Judiciary - Criminal Committee: DO PASS",6,1,0,0,7
1786162,1358205,2023-03-22,House,"House: THIRD READING",72,22,0,7,101
1786166,1358206,2023-05-16,Senate,"Senate: Committee On Appropriations And Budget: DO PASS",22,0,0,0,22
1786166,1358207,2023-05-17,Senate,"Senate: THIRD READING",43,4,0,1,48
1786166,1358208,2023-05-16,House,"House: Joint Committee on Appropriations and Budget Committee: DO PASS AS AMENDED BY CS",37,0,0,0,37
1786166,1358209,2023-05-19,House,"House: THIRD READING",84,2,0,15,101
1786167,1358210,2023-04-06,Senate,"Senate: General Government: DO PASS",8,1,0,0,9
1786167,1358211,2023-04-26,Senate,"Senate: THIRD READING",45,1,0,2,48
1786167,1358212,2023-02-21,House,"House: Government Modernization and: DO PASS",10,0,0,0,10
1786167,1358213,2023-03-22,House,"House: THIRD READING",92,0,0,9,101
1786170,1358214,2023-02-21,House,"House: Government Modernization and: DO PASS",8,2,0,0,10
1786173,1393057,2024-02-22,House,"House: Judiciary - Civil Committee: DO PASS AS AMENDED BY CS",10,0,0,0,10
1786173,1399086,2024-02-29,House,"House: THIRD READING",90,4,0,7,101
1786173,1417106,2024-03-28,Senate,"Senate: Public Safety: DO PASS",11,0,0,0,11
1786175,1358215,2023-02-23,Senate,"Senate: Committee On Energy & Telecommunications: DO PASS",6,5,0,0,11
1786179,1358216,2023-04-03,Senate,"Senate: Tourism & Wildlife: DO PASS",11,0,0,0,11
1786179,1358217,2023-04-03,Senate,"Senate: Corrected: DO PASS",11,0,0,0,11
1786179,1358218,2023-02-15,House,"House: Tourism Committee: DO PASS AS AMENDED BY CS",7,0,0,0,7
1786179,1358219,2023-03-22,House,"House: THIRD READING",89,0,0,12,101
1786184,1358220,2023-02-23,House,"House: Judiciary - Civil Committee: DO PASS",9,0,0,0,9
1786184,1358221,2023-03-14,House,"House: THIRD READING",81,0,0,20,101
1786184,1422914,2024-04-09,Senate,"Senate: Judiciary: DO PASS",12,0,0,0,12
1786184,1431784,2024-04-22,Senate,"Senate: THIRD READING",45,0,0,3,48
1786184,1451927,2024-05-29,House,"House: FOURTH READING",92,0,0,9,101
1786185,1388736,2024-02-20,House,"House: Rules Committee: DO PASS",7,2,0,0,9
1786185,1408651,2024-03-13,House,"House: THIRD READING",92,1,0,8,101
1786188,1358222,2023-04-06,Senate,"Senate: General Government: DO PASS",10,0,0,0,10
1786188,1358223,2023-04-26,Senate,"Senate: THIRD READING",42,1,0,5,48
1786188,1358224,2023-02-21,House,"House: Government Modernization and: DO PASS AS AMENDED BY CS",10,0,0,0,10
1786188,1358225,2023-03-06,House,"House: THIRD READING",98,0,0,3,101
1786188,1358226,2023-05-25,House,"House: FOURTH READING",34,59,0,8,101
1786188,1358227,2023-05-25,House,"House: RECONSIDER MEASURE",77,15,0,9,101
1786192,1358228,2023-02-20,House,"House: Appropriations and Budget Public Safety Subcommittee: DO PASS",8,2,0,0,10
1786192,1358229,2023-03-02,House,"House: Appropriations and Budget Committee: DO PASS",31,0,0,0,31
1786192,1358230,2023-03-13,House,"House: THIRD READING",39,49,0,13,101
1786195,1358231,2023-04-13,Senate,"Senate: Public Safety: DO PASS",9,0,0,0,9
1786195,1358232,2023-04-20,Senate,"Senate: drug exposure be provided to",46,0,0,2,48
1786195,1358233,2023-02-15,House,"House: Criminal Justice and Corrections Committee: DO PASS",5,1,0,0,6
1786195,1358234,2023-03-06,House,"House: THIRD READING",95,0,0,6,101
1786196,1358235,2023-02-07,Senate,"Senate: Committee On Aeronautics & Transportation: DO PASS AMENDED",11,1,0,0,12
1786196,1358236,2023-03-02,Senate,"Senate: THIRD READING",38,1,0,9,48
1786196,1358237,2023-04-11,House,"House: Public Safety Committee: DO PASS AS AMENDED BY CS",6,1,0,0,7
1786196,1358238,2023-04-19,House,"House: THIRD READING",88,0,0,13,101
1786202,1358239,2023-02-15,House,"House: Criminal Justice and Corrections Committee: DO PASS",5,1,0,0,6
1786202,1358240,2023-03-21,House,"House: THIRD READING",70,19,0,12,101
1786205,1358241,2023-02-07,Senate,"Senate: Committee On Judiciary: DO PASS",11,0,0,0,11
1786205,1358242,2023-03-02,Senate,"Senate: THIRD READING",46,0,0,2,48
1786205,1358243,2023-04-04,House,"House: Children, Youth and Family Services Committee: DO PASS",6,0,0,0,6
1786205,1358244,2023-04-18,House,"House: THIRD READING",90,0,0,11,101
1786207,1358245,2023-04-06,Senate,"Senate: Energy & Telecommunications: DO PASS",11,0,0,0,11
1786207,1358246,2023-04-10,Senate,"Senate: Finance: DO PASS",12,1,0,0,13
1786207,1358247,2023-04-20,Senate,"Senate: THIRD READING",31,7,0,10,48
1786207,1358248,2023-02-22,House,"House: Energy and Natural Resources Committee: DO PASS",15,0,0,0,15
1786207,1435905,2023-03-20,House,"House: THIRD READING",83,10,0,8,101
1786208,1358249,2023-02-08,Senate,"Senate: Committee On Business & Commerce: DO PASS",12,0,0,0,12
1786208,1358250,2023-02-27,Senate,"Senate: Committee On Finance: DO PASS",12,0,0,0,12
1786208,1358251,2023-03-08,Senate,"Senate: THIRD READING",45,1,0,2,48
1786208,1358252,2023-05-15,Senate,"Senate: FOURTH READING",42,3,0,3,48
1786208,1358253,2023-04-05,House,"House: Appropriations and Budget Committee: DO PASS",33,1,0,0,34
1786208,1358254,2023-04-18,House,"House: THIRD READING",84,8,0,9,101
1786210,1358255,2023-04-04,Senate,"Senate: Retirement & Insurance: DO PASS",9,0,0,0,9
1786210,1358256,2023-04-12,Senate,"Senate: Appropriations: DO PASS",18,1,0,0,19
1786210,1358257,2023-03-01,House,"House: Appropriations and Budget Committee: DO PASS AS AMENDED BY CS",34,0,0,0,34
1786210,1358258,2023-03-22,House,"House: THIRD READING",90,1,0,10,101
1786211,1358259,2023-04-10,Senate,"Senate: Finance: DO PASS",9,2,0,0,11
1786211,1358260,2023-02-20,House,"House: Appropriations and Budget Finance Subcommittee: DO PASS",9,0,0,0,9
1786211,1358261,2023-03-01,House,"House: Appropriations and Budget Committee: DO PASS AS AMENDED, STRIKE THE T ITLE",29,5,0,0,34
1786211,1358262,2023-03-07,House,"House: THIRD READING",78,19,0,4,101
1786213,1358263,2023-02-13,Senate,"Senate: Committee On Agriculture & Rural Affairs: DO PASS",10,0,0,0,10
1786213,1358264,2023-02-22,Senate,"Senate: Committee On Appropriations: DO PASS",21,0,0,0,21
1786213,1358265,2023-03-22,Senate,"Senate: THIRD READING",46,1,0,1,48
1786213,1358266,2023-04-11,House,"House: Agriculture Committee: DO PASS",15,0,0,0,15
1786214,1358267,2023-02-27,Senate,"Senate: Committee On Business & Commerce: DO PASS",7,5,0,0,12
1786215,1358268,2023-02-14,Senate,"Senate: Committee On Retirement & Insurance: DO PASS",10,0,0,0,10
1786215,1358269,2023-03-20,Senate,"Senate: THIRD READING",45,2,0,1,48
1786215,1358270,2023-04-03,House,"House: Banking, Financial Services and Pensions Committee: DO PASS",10,0,0,0,10
1786215,1358271,2023-04-24,House,"House: THIRD READING",92,0,0,9,101
1786217,1396821,2024-02-27,House,"House: Rules Committee: DO PASS AS AMENDED BY CS",8,0,0,0,8
1786217,1408491,2024-03-13,House,"House: THIRD READING",90,0,0,11,101
1786220,1358272,2023-04-05,Senate,"Senate: Administrative Rules: DO PASS",11,1,0,0,12
1786220,1358273,2023-04-18,Senate,"Senate: THIRD READING",39,7,0,2,48
1786220,1358274,2023-02-15,House,"House: Administrative Rules Committee: DO PASS AS AMENDED BY CS",5,0,0,0,5
1786220,1358275,2023-03-06,House,"House: THIRD READING",91,0,0,10,101
1786221,1392217,2024-02-22,Senate,"Senate: Public Safety: DO PASS",7,1,0,0,8
1786221,1407595,2024-03-12,Senate,"Senate: THIRD READING",41,0,0,7,48
1786221,1419530,2024-04-03,House,"House: Judiciary - Criminal Committee: DO PASS AS AMENDED BY CS",5,0,0,0,5
1786224,1450443,2024-05-27,Senate,"Senate: Committee On Appropriations And Budget: DO PASS",20,0,0,0,20
1786224,1450444,2024-05-27,House,"House: Joint Committee on Appropriations and Budget Committee: DO PASS AS AMENDED BY CS",31,0,0,0,31
1786224,1450819,2024-05-28,Senate,"Senate: THIRD READING",38,3,0,7,48
1786224,1452155,2024-05-30,House,"House: THIRD READING",96,0,0,5,101
1786227,1358276,2023-04-11,Senate,"Senate: Corrected: DO PASS",9,0,0,0,9
1786227,1358277,2023-02-28,House,"House: Common Education Committee: DO PASS AS AMENDED BY CS",11,0,0,0,11
1786227,1358278,2023-03-20,House,"House: THIRD READING",84,8,0,9,101
1786227,1432631,2024-04-23,Senate,"Senate: THIRD READING",31,11,0,6,48
