bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1871311,1431164,2024-04-18,House,"Third Reading",92,0,8,0,100
1871311,1432454,2024-04-23,Senate,"Third Reading",33,0,0,2,35
1871312,1430156,2024-04-17,Senate,"Third Reading",35,0,0,0,35
1871312,1431131,2024-04-18,House,"Third Reading",89,3,8,0,100
1871313,1431153,2024-04-18,House,"Third Reading",93,0,7,0,100
1871313,1433306,2024-04-23,Senate,"Third Reading",33,0,0,2,35
1871314,1430157,2024-04-17,Senate,"Third Reading",35,0,0,0,35
1871314,1431108,2024-04-18,House,"Third Reading",92,0,8,0,100
1871316,1431142,2024-04-18,Senate,"Third Reading",32,0,0,3,35
1871316,1432396,2024-04-23,House,"Third Reading",94,0,6,0,100
1871317,1432409,2024-04-23,House,"Third Reading",95,0,5,0,100
1871317,1434484,2024-04-24,Senate,"Third Reading",34,0,1,0,35
1871318,1430453,2024-04-18,House,"Third Reading",92,0,8,0,100
1871318,1432405,2024-04-23,Senate,"Third Reading",33,0,0,2,35
1871319,1430455,2024-04-18,House,"Third Reading",92,0,8,0,100
1871319,1432444,2024-04-23,Senate,"Third Reading",33,0,0,2,35
1871320,1434648,2024-04-25,House,"Third Reading",93,0,7,0,100
1871320,1437065,2024-04-30,Senate,"Third Reading",34,0,1,0,35
1871321,1430161,2024-04-17,Senate,"Third Reading",35,0,0,0,35
1871321,1431149,2024-04-18,House,"Third Reading",92,0,8,0,100
1871322,1437623,2024-05-01,House,"Third Reading",94,0,6,0,100
1871322,1437814,2024-05-02,Senate,"Third Reading",32,0,1,2,35
1871324,1434330,2024-04-24,Senate,"Third Reading",34,0,1,0,35
1871324,1434645,2024-04-25,House,"Third Reading",91,3,6,0,100
1871325,1430843,2024-04-18,Senate,"Third Reading",32,0,0,3,35
1871325,1432823,2024-04-23,House,"Third Reading",94,0,6,0,100
1871326,1431152,2024-04-18,House,"Third Reading",93,0,7,0,100
1871326,1433300,2024-04-23,Senate,"Third Reading",33,0,0,2,35
1871327,1429633,2024-04-17,Senate,"Third Reading",35,0,0,0,35
1871327,1430791,2024-04-18,House,"Third Reading",92,0,8,0,100
1871329,1429316,2024-04-17,Senate,"Third Reading",35,0,0,0,35
1871329,1431101,2024-04-18,House,"Third Reading",92,0,8,0,100
1871330,1429650,2024-04-17,House,"Third Reading",86,8,6,0,100
1871330,1430804,2024-04-18,Senate,"Third Reading",32,0,0,3,35
1871331,1436820,2024-04-30,Senate,"Third Reading",34,0,1,0,35
1871331,1437570,2024-05-01,House,"Third Reading",97,0,3,0,100
1871332,1430177,2024-04-17,House,"Third Reading",94,1,5,0,100
1871332,1431111,2024-04-18,Senate,"Third Reading",32,0,0,3,35
1871334,1430826,2024-04-18,House,"Third Reading",92,0,8,0,100
1871334,1432791,2024-04-23,Senate,"Third Reading",33,0,0,2,35
1871335,1430166,2024-04-17,Senate,"Third Reading",35,0,0,0,35
1871335,1431120,2024-04-18,House,"Third Reading",92,0,8,0,100
1871336,1437250,2024-05-01,Senate,"Third Reading",34,0,1,0,35
1871336,1437795,2024-05-02,House,"Third Reading",32,37,31,0,100
1871336,1441630,2024-05-09,House,"Third Reading",62,21,17,0,100
1871336,1441631,2024-05-09,Senate,"Third Reading",31,0,1,3,35
1871337,1431158,2024-04-18,House,"Third Reading",93,0,7,0,100
1871337,1432406,2024-04-23,Senate,"Third Reading",33,0,0,2,35
1871338,1436845,2024-04-30,House,"Third Reading",91,0,9,0,100
1871338,1437569,2024-05-01,Senate,"Third Reading",34,0,1,0,35
1871339,1429093,2024-04-16,House,"EMERGENCY CLAUSE ADOPTED",98,0,2,0,100
1871339,1432560,2024-04-23,Senate,"Third Reading",33,0,0,2,35
1871340,1437024,2024-04-30,House,"Third Reading",90,0,10,0,100
1871340,1437726,2024-05-01,Senate,"Third Reading",34,0,1,0,35
1871341,1430476,2024-04-18,House,"Third Reading",92,0,8,0,100
1871341,1433211,2024-04-23,Senate,"Third Reading",33,0,0,2,35
1871342,1434646,2024-04-25,House,"Third Reading",86,7,7,0,100
1871342,1436760,2024-04-30,Senate,"Third Reading",34,0,1,0,35
1871344,1430152,2024-04-17,Senate,"Third Reading",35,0,0,0,35
1871344,1431124,2024-04-18,House,"Third Reading",92,0,8,0,100
1871345,1434339,2024-04-24,Senate,"Third Reading",34,0,1,0,35
1871345,1435145,2024-04-25,House,"Third Reading",94,0,6,0,100
1871346,1430167,2024-04-17,Senate,"Third Reading",35,0,0,0,35
1871346,1431146,2024-04-18,House,"Third Reading",87,4,9,0,100
1871347,1430226,2024-04-17,House,"Third Reading",90,6,4,0,100
1871347,1431104,2024-04-18,Senate,"Third Reading",32,0,0,3,35
1871348,1436884,2024-04-30,House,"Third Reading",84,4,12,0,100
1871348,1437733,2024-05-01,Senate,"Third Reading",34,0,1,0,35
1871349,1432815,2024-04-23,Senate,"Third Reading",33,0,0,2,35
1871349,1433933,2024-04-24,House,"Third Reading",95,0,5,0,100
1871351,1434329,2024-04-24,House,"Third Reading",96,0,4,0,100
1871351,1434650,2024-04-25,Senate,"Third Reading",35,0,0,0,35
1871353,1437557,2024-05-01,Senate,"Third Reading",34,0,1,0,35
1871353,1438236,2024-05-02,House,"Third Reading",89,0,11,0,100
1871354,1437556,2024-05-01,Senate,"Third Reading",34,0,1,0,35
1871354,1437793,2024-05-02,House,"Third Reading",89,0,11,0,100
1871355,1436872,2024-04-30,House,"Third Reading",68,18,14,0,100
1871355,1437366,2024-05-01,House,"Third Reading",72,17,11,0,100
1871355,1437367,2024-05-01,House,"Third Reading",78,11,11,0,100
1871355,1437890,2024-05-02,Senate,"Third Reading",32,0,1,2,35
1871356,1430172,2024-04-17,House,"Third Reading",93,0,7,0,100
1871356,1431139,2024-04-18,Senate,"Third Reading",32,0,0,3,35
1871357,1430814,2024-04-18,House,"Third Reading",93,0,7,0,100
1871357,1432808,2024-04-23,Senate,"Third Reading",33,0,0,2,35
1871358,1434337,2024-04-24,Senate,"Third Reading",34,0,1,0,35
1871358,1434640,2024-04-25,House,"Third Reading",94,0,6,0,100
1871359,1430469,2024-04-18,House,"Third Reading",92,0,8,0,100
1871359,1432419,2024-04-23,Senate,"Third Reading",33,0,0,2,35
1871360,1432478,2024-04-23,Senate,"Third Reading",33,0,0,2,35
