people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
3693,"Ken Luttrell",Ken,,Luttrell,,,2,R,1,Rep,HD-037,6477200,67527,,Ken_Luttrell,249091,0
14088,"Nathan Dahm",Nathan,,Dahm,,,2,R,2,Sen,SD-033,11029992,106666,,Nathan_Dahm,284965,0
15263,"Mark McBride",Mark,,McBride,,,2,R,1,Rep,HD-053,18915294,138929,,Mark_McBride_(Oklahoma),411095,0
15268,"Charles McCall",Charles,A.,McCall,,,2,R,1,Rep,HD-022,11029712,138888,,Charles_McCall,410985,0
15285,"Jon Echols",Jon,,Echols,,,2,R,1,Rep,HD-090,6676570,106686,,Jon_Echols,411282,0
15740,"Terry O'Donnell",Terry,,O'Donnell,,,2,R,1,Rep,HD-023,8963616,138893,,Terry_O%27Donnell_(Oklahoma),410992,0
17176,"Chris Kannady",Chris,,Kannady,,,2,R,1,Rep,HD-091,13005035,46284,,Chris_Kannady,495596,0
17276,"Chad Caldwell",Chad,,Caldwell,,,2,R,1,Rep,HD-040,8608010,152349,,Chad_Caldwell,495512,0
17282,"John Pfeiffer",John,,Pfeiffer,,,2,R,1,Rep,HD-038,23442467,152344,,John_Pfeiffer,495504,0
17284,"Kevin Wallace",Kevin,,Wallace,,,2,R,1,Rep,HD-032,15676223,152339,,Kevin_Wallace,495495,0
17462,"Mark Lepak",Mark,Paul,Lepak,,,2,R,1,Rep,HD-009,11998499,152320,,Mark_Lepak,495477,0
17823,"Regina Goodwin",Regina,,Goodwin,,,1,D,1,Rep,HD-073,8888006,156149,,Regina_Goodwin,545811,0
17840,"Cyndi Munson",Cyndi,,Munson,,,1,D,1,Rep,HD-085,23442381,152403,,Cyndi_Munson,495570,0
18901,"Micheal Bergstrom",Micheal,,Bergstrom,,,2,R,2,Sen,SD-001,39828100,170518,,Micheal_Bergstrom,579855,0
18911,"Rande Worthen",Rande,,Worthen,,,2,R,1,Rep,HD-064,39828006,170883,,Rande_Worthen,579549,0
18986,"Forrest Bennett",Forrest,,Bennett,,,1,D,1,Rep,HD-092,39828070,170964,,Forrest_Bennett,579591,0
18987,"Tom Gann",Tom,,Gann,,,2,R,1,Rep,HD-008,39827902,12373,,Tom_Gann,579473,0
18988,"Josh West",Josh,,West,,,2,R,1,Rep,HD-005,39827898,170737,,Josh_West_(Oklahoma),579872,0
18989,"Kevin West",Kevin,,West,,,2,R,1,Rep,HD-054,39827988,170854,,Kevin_West,579387,0
18990,"Rick West",Rick,,West,,,2,R,1,Rep,HD-003,31963377,170718,,Rick_West_(Oklahoma),579466,0
18991,"Tammy West",Tammy,,West,,,2,R,1,Rep,HD-084,39828047,170941,,Tammy_West,579399,0
19005,"Rhonda Baker",Rhonda,,Baker,,,2,R,1,Rep,HD-060,39827998,170869,,Rhonda_Baker,579898,0
19006,"Dell Kerbs",Dell,,Kerbs,,,2,R,1,Rep,HD-026,39827935,170780,,Dell_Kerbs,579882,0
19007,"Mike Osburn",Mike,,Osburn,,,2,R,1,Rep,HD-081,6571057,55504,,Mike_Osburn,579908,0
19011,"Mickey Dollens",Mickey,,Dollens,,,1,D,1,Rep,HD-093,39828073,170970,,Mickey_Dollens,579594,0
