people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
2440,"Paul Frost",Paul,K.,Frost,,,2,R,1,Rep,HD-07-WOR,716914,13647,,Paul_Frost,195105,0
2441,"William Galvin",William,C.,Galvin,,,1,D,1,Rep,HD-06-NOR,839710,4803,,William_Galvin_(House_of_Representatives),195098,0
2442,"Sean Garballey",Sean,,Garballey,,,1,D,1,Rep,HD-23-MID,218908,103921,,Sean_Garballey,263009,0
2443,"Colleen Garry",Colleen,M.,Garry,,,1,D,1,Rep,HD-36-MID,1759500,4761,,Colleen_Garry,195197,0
2444,"Susan Gifford",Susan,W.,Gifford,,,2,R,1,Rep,HD-02-PLY,39737,35881,,Susan_Gifford,214002,0
2445,"Anne Gobi",Anne,M.,Gobi,,,1,D,2,Sen,SD-WORCES,22848,35956,,Anne_Gobi,210065,0
2449,"Danielle Gregoire",Danielle,W.,Gregoire,,,1,D,1,Rep,HD-04-MID,13001419,109544,,Danielle_Gregoire,270811,0
2451,"Patricia Haddad",Patricia,A.,Haddad,,,1,D,1,Rep,HD-05-BRI,217777,54303,,Patricia_Haddad,209525,0
2456,"Kate Hogan",Kate,,Hogan,,,1,D,1,Rep,HD-03-MID,272599,109541,,Kate_Hogan,270809,0
2457,"Kevin Honan",Kevin,G.,Honan,,,1,D,1,Rep,HD-17-SUF,162102,4816,,Kevin_Honan,195173,0
2459,"Bradley Jones",Bradley,H.,Jones,Jr.,,2,R,1,Rep,HD-20-MID,42563,4821,,Bradley_Jones_Jr.,195179,0
2463,"John Keenan",John,F.,Keenan,,,1,D,2,Sen,SD-NORFOL,13001485,35690,,John_Keenan_(Massachusetts_State_Senate),311913,0
2464,"Kay Khan",Kay,,Khan,,,1,D,1,Rep,HD-11-MID,451745,4833,,Kay_Khan,195144,0
2471,"Jason Lewis",Jason,M.,Lewis,,,1,D,2,Sen,SD-05-MID,172685,109548,,Jason_Lewis_(Massachusetts),270822,0
2472,"David Linsky",David,Paul,Linsky,,,1,D,1,Rep,HD-05-MID,2119359,1971,,David_Linsky,195087,0
2476,"Ronald Mariano",Ronald,,Mariano,,,1,D,1,Rep,HD-03-NOR,1505986,4846,,Ronald_Mariano,195072,0
2478,"Paul McMurtry",Paul,,McMurtry,,,1,D,1,Rep,HD-11-NOR,716154,74235,,Paul_McMurtry,256432,0
2480,"Aaron Michlewitz",Aaron,M.,Michlewitz,,,1,D,1,Rep,HD-03-SUF,398607,115768,,Aaron_Michlewitz,279145,0
2481,"Michael Moran",Michael,,Moran,,,1,D,1,Rep,HD-18-SUF,1740498,15237,,Michael_Moran_(Massachusetts),234680,0
2483,"James Murphy",James,Michael,Murphy,,,1,D,1,Rep,HD-04-NOR,13001423,36011,,James_Murphy_(Massachusetts),209539,0
2488,"James O'Day",James,J.,O'Day,,,1,D,1,Rep,HD-14-WOR,13001235,74291,,James_O%27Day,255607,0
2491,"Sarah Peake",Sarah,K.,Peake,,,1,D,1,Rep,HD-04-BAR,1631350,35764,,Sarah_Peake,250525,0
2493,"Alice Peisch",Alice,Hanlon,Peisch,,,1,D,1,Rep,HD-14-NOR,461472,35864,,Alice_Peisch,212643,0
2497,"William Pignatelli",William,Smitty,Pignatelli,,Smitty,1,D,1,Rep,HD-03-BER,13001408,36036,,William_Pignatelli,212633,0
2501,"Angelo Puppolo",Angelo,J.,Puppolo,Jr.,,1,D,1,Rep,HD-12-HAM,1485565,65779,,Angelo_Puppolo_Jr.,250533,0
2506,"Michael Rodrigues",Michael,J.,Rodrigues,,,1,D,2,Sen,SD-01-PLY,1758292,4834,,Michael_Rodrigues,195116,0
2507,"John Rogers",John,H.,Rogers,,,1,D,1,Rep,HD-12-NOR,501933,4860,,John_Rogers_(Massachusetts),195147,0
2510,"Michael Rush",Michael,F.,Rush,,,1,D,2,Sen,SD-NORFOL,13001178,35666,,Michael_Rush,212637,0
2519,"Todd Smola",Todd,M.,Smola,,,2,R,1,Rep,HD-01-HAM,13001282,35966,,Todd_Smola,228416,0
2526,"Thomas Stanley",Thomas,M.,Stanley,,,1,D,1,Rep,HD-09-MID,13001517,54380,,Thomas_Stanley,209220,0
2528,"William Straus",William,M.,Straus,,,1,D,1,Rep,HD-10-BRI,26227,4892,,William_Straus,195133,0
2531,"Walter Timilty",Walter,F.,Timilty,,,1,D,2,Sen,SD-NORFOL,447545,18998,,Walter_Timilty,195110,0
2552,"Cynthia Creem",Cynthia,Stone,Creem,,,1,D,2,Sen,SD-NORFOL,376496,18877,,Cynthia_Stone_Creem,194981,0
